회사,날짜,시간,카테고리,제목,본문
남광토건,2019.12.27,1750,증권,[유가증권시장 공시] 현대로템 / 두산퓨얼셀 / 남광토건 등,"◇현대로템=2433억원 규모 방사청 전차사업 수주.◇두산퓨얼셀=1800억원 규모 연료전지 시스템 공급 계약.◇남광토건=한국도로공사와 1356억원 공사 계약 체결.◇동부건설=세성과 613억원 규모 복합시설 공사 계약.[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        					"
남광토건,2019.12.17,1400,전체,호재 온 줄 알았는데…흔들리는 대북 관련주,"스티븐 비건 미국 국무부 대북정책특별대표가 16일 오전 서울 종로구 외교부 청사에서 한미 북핵수석대표협의를 마친 뒤 이도훈 외교부 한반도 평화교섭본부장과 함께 기자회견을 하고 있다. / 사진=이기범 기자 leekb@대북 관련주들이 호재와 악재가 혼재된 상황 속에서 흔들리고 있다. 현재 대북 관련주들은 고점 대비 절반 이하로 떨어진 경우가 많은데, 북미 관계의 가시적인 진전 없이는 회복이 불투명할 것으로 전망된다. 17일 오후 1시55분 현대엘리베이 (68,300원 300 -0.4%), 현대상선 (3,550원 130 3.8%), 자화전자 (10,600원 300 -2.8%) 등 대부분 대북 관련주들이 하락세다. 대아티아이 (5,240원 60 -1.1%)와 남광토건 (11,300원 150 -1.3%) 등 남북관 철도·도로 협력사업 관련주들은 이날 장 초반 5%가 넘는 상승세를 보이기도 했으나 오후에 하락세로 돌아섰다. 이날 외신 등에 따르면 중국과 러시아는 대북 제재를 일부 해제하는 내용을 담은 결의안 초안을 유엔 안보리에 제출했다. 해당 결의안에는 북한의 해산물과 섬유 수출 금지 규정, 오는 22일까지로 예정됐던 해외파견 북한 노동자 송환조치를 철회하는 내용이 담긴 것으로 알려졌다. 또 남북철도사업이 이뤄질 수 있도록 하자는 내용도 포함된 것으로 전해졌다.중국과 러시아는 결의안에 ""새로운 북미 관계를 구축하고, 상호 신뢰를 쌓으며 한반도의 지속적이고 안정적인 평화를 구축하는 노력에 동참하면서 북·미 간 모든 레벨의 지속적인 대화를 환영한다""고 밝혔다.이같은 소식에 장 초반 대북주들은 일제히 오름세를 보였다. 최근 스티븐 비건 미 국무부 대북정책 특별대표가 북한에 대화를 제의한데 힘입어 대북주들이 상승세를 탄 상황인데, 중국과 러시아로부터 들려온 소식에 이를 이어갈 수 있을 것으로 보였다. 그러나 로이터통신에 따르면 미 국무부에선 곧바로 ""선제적 대북제재 완화를 거론할 때가 아니다""란 발언이 나왔다. 도널드 트럼프 미국 대통령 역시 백악관에서 북한과 관련한 기자들의 질문에 ""우리는 (북한의 상황을) 지켜보고 있다. 나는 무언가 일이 벌어진다면 매우 실망할 것""이라며 ""만약 그렇게 된다면 우리는 그에 대해 대응할 것""이라고 밝혔다.여기에 비건 특별대표의 대화 제안에 대해 북한이 아직까지 아무런 응답을 내놓지 않자 투자자들은 곧바로 돌아섰다. 4거래일 연속 상승세를 이어가던 에코마이스터 (4,475원 80 -1.8%), 제이에스티나 (4,065원 15 0.4%), 좋은사람들 (3,015원 10 -0.3%) 등은 결국 이날 상승폭을 반납했다.현재 대북 관련주들은 대체로 2차 북미정상회담 전 기록한 고점 대비 절반 이하 수준까지 내려와있는 상태다. 전문가들은 북미관계의 가시적인 진전 없이는 어떤 이벤트에도 주가가 장기간 상승하기는 어려울 것이라고 전망한다.증권업계의 한 관계자는 ""2년여간 기대감으로 대북주들이 움직였으나 지금은 북미관계를 낙관할 수 없는 상황이라 투자자들이 매우 조심스럽게 접근하고 있다""며 ""북미 대화가 재개된다고 하더라도 당시 기록했던 고점 수준까지 회복하기는 쉽지 않다""고 말했다.또 다른 증권사 애널리스트는 ""이미 북한 개방에 대한 기대감은 많이 훼손된 상황""이라며 ""대화 재개 후 실제 수혜가 확실해질 때 대북 관련주에 접근하는 것이 바람직하다""고 조언했다.한편 비건 특별대표는 이날 일본으로 출국할 예정이다. 그 전에 북한이 대화에 응하지 않을 경우 북미 관계는 더욱 경색될 가능성이 높다.                            "
남광토건,2019.11.11,1747,증권,[유가증권시장 공시] 남광토건 / 미래산업,"◇남광토건=조달청과 194억원어치 광역도로 건설공사 계약 체결.◇미래산업=주당 132원에 유상증자 결정.[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        					"
남광토건,2019.11.07,1328,전체,"분양가상한제, 집값 대신 건설주 잡았다","사진은 분양가 상한제 대상으로 선정된 서울 강남구 대치동 아파트의 모습.  2019.11.6/뉴스1서울 강남 3구를 비롯한 주요 지역에 분양가상한제가 시행되면서 건설주도 빨간불이 커졌다. 정부가 재건축·재개발 정비사업의 분양가를 제한하면서 주택 수주 물량과 수익성에도 직간접적인 영향이 불가피해졌기 때문이다. 일각에서는 분양가상한제 악재가 주가에 선반영 됐고 해당 지역 발표로 오히려 불확실성이 해소됐다는 측면에서 주가 하락이 제한적이라는 예측도 있지만 향후 실적에 대한 불확실성이 커진 것은 분명하기 때문에 전문가들은 종목별 선별투자가 필요하다고 조언했다.지난 6일 분양가상한제 지역 발표 이후 대형건설사 대부분의 주가가 소폭 약세를 보였다. GS건설 (31,050원 150 0.5%)(-1.68%), 현대건설 (42,300원 150 -0.3%)(-0.66%), 대림산업 (90,500원 1700 1.9%)(-0.64%), 대우건설 (4,740원 45 1.0%)(-0.21%) 등이며 이 가운데서도 주택시장의 강자인 GS건설의 약세가 두드러졌다. GS건설 주가는 지난해 12월 18일 4만8250원을 찍은 후 올해 10월 10일 3만350원까지 빠져 3만원대 유지가 위협을 받기도 했다. 특히 자체 분양 사업을 많이 하거나 대형 건설사에 비해 자본력이 떨어져 '후분양제'를 선택하기도 쉽지 않은 중견 건설사의 경우 타격이 더 클 전망이다. 7일 오전 11시 현재 코스피 시장에서 남광토건 (11,300원 150 -1.3%), 일성건설 (1,270원 20 -1.6%) 등 주로 중견기업이 1%대의 약세를 보이고 있다. 문재인 정부 들어 주택시장에 대한 규제가 강해지면서 건설사들은 미분양 위험은 낮으면서 수익성은 좋은 서울 정비사업과 인근 특정 수도권 중심의 주택사업을 진행해왔다. 하지만 서울 27개 동에 분양가상한제가 적용되면 재개발·재건축조합은 사업 추진을 멈추거나 늦출 가능성이 높다. 추진되더라도 한정된 물량을 놓고 대형건설사들이 경쟁하거나 조합 재원 한계에 따른 공사비 책정 어려움 등 수익성에 영향을 줄 전망이다. 정부는 추가 지정의 가능성도 열어뒀다. 김치호 한국투자증권 연구원은 ""대형건설사는 평균적으로 연간 분양의 25%를 서울 지역에서 한다""며 ""줄어드는 일감으로 심화되는 업체 간 경쟁은 수익성 악화로 이어질 수 있다""고 우려했다. 김 연구원은 ""분양가 상한제로 촉발된 서울 재건축 사업의 위축은 건설사뿐 아니라 시멘트·건축자재 업종에도 부정적인 영향이 불가피하다""고 진단했다. 김 연구원은 건설업종에 대한 투자 중립 의견을 유지하고 주택규제에서 자유로운 삼성엔지니어링 (19,200원 50 -0.3%)을 최선호주로 유지했다. 김선미 KTB투자증권 연구원은 ""건설업종은 분양가 규제와 해외수주 장기화 추세 등을 감안할 때 신규수주의 실질적인 회복까지는 시간이 걸릴 것으로 본다""며 ""당분간 건설업종의 주가 변동성이 확대될 것으로 예상돼 개별 모멘텀이 있는 종목 위주의 선별투자가 필요하다""고 판단했다.                            "
남광토건,2019.11.06,1745,증권,[유가증권시장 공시] 남광토건 / 경방,"◇남광토건=333억원 규모 채무보증 결정.◇경방=19억원 규모 자기주식 취득 결정.[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        					"
남광토건,2019.10.23,1725,전체,“금강산 남측 시설 들어내라”…경협株 ‘주르륵’,"[이데일리 조지수 기자][이데일리 박태진 기자] 남북 경협주(株)들이 폭삭 주저앉았다. 김정은 북한 국무위원장이 금강산의 남측 시설 철거를 지시했기 때문이다. 23일 마켓포인트에 따르면 아난티(025980)는 전 거래일 대비 8.16% 하락한 1만1250원에 거래를 마쳤다. 현대엘리베이(017800)는 전일 대비 7.46% 하락한 2755원에 거래를 끝냈다. 일신석재(007110)와 인디에프(014990)는 각각 6.93%, 6.18% 하락했다. 조비(001550)와 신원(009270), 경농(002100), 도화엔지니어링(002150), 남광토건(001260) 등도 4%대 하락률을 기록했다. 금강산 관광사업을 주도했던 현대아산도 이날 한국장외주식시장(K-OTC)에서 11.98% 급락했다. 이들 주식은 김 위원장이 남북 협력의 상징인 금강산관광을 추진했던 아버지 김정일 국방위원장의 대남의존정책을 비판한 영향을 받은 것으로 풀이된다.북한 관영매체들은 김정은 위원장이 금강산 일대 관광시설을 현지지도하고 고성항과 해금강호텔, 문화회관, 금강산호텔 금강산옥류관 등 남측에서 건설한 시설들을 돌아봤다고 이날 보도했다.김 위원장은 “보기만 해도 기분이 나빠지는 너절한 남측 시설들을 남측의 관계 부문과 합의해 싹 들어내도록 하고 금강산의 자연경관에 어울리는 현대적인 봉사시설들을 우리 식으로 새로 건설해야 한다”고 강조했다.이는 남측이 지난해 9월 남북 정상의 평양공동선언에서 합의한 금강산관광 재개를 지금까지 이행하지 않는 것에 대한 불만의 표현으로 해석된다. 이번 이슈는 당분간 경협주 주가에 악재로 작용할 것이란 전망이다. 특히 금강산관광 개발 및 운영에 참여했던 국내 기업들의 타격이 불가피하다는 분석도 나온다. 김윤서 신한금융투자 연구원은 “예전에 현대아산이 임대를 했지만, 북한이 일방적으로 번복하고 다른 나라에 개방하겠다는 우려감이 커지면서 오늘 경협주들이 빠졌다”면서 “북한이 남측 시설을 실제로 철거하게 되면 아난티 등은 거기에 있는 사업권을 뺏기게 되니까 단기적으로 주가는 안 좋을 수 있다”고 말했다. 이번 금강산 시설 철거 건과 관련해 타협점을 찾기까지는 시간이 걸릴 것이란 판단이다. 김 연구원은 “앞으로 남북 관계가 어떻게 전개될지 살펴봐야 한다”며 “다만 지금 도널드 트럼프 미국 대통령이 탄핵 정국에 있기 때문에 남·북 또는 북·미 간 단기적으로 협상을 할 가능성은 높지 않아 보인다. 시간이 필요할 것 같다”고 전망했다."
남광토건,2019.10.16,1749,증권,[유가증권시장 공시] 남광토건 / 삼호 / 조선내화,"◇남광토건=한국수자원공사와 218억원 규모 공사 계약.◇삼호=389억원 규모 채무보증 결정.◇조선내화=490억원 규모 공사도급계약 해지 결정.[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        					"
남광토건,2019.09.16 ,"1855
","
부동산


","대보그룹, 이종일 기획조정실장·박찬호 본부장 영입"," 대보그룹은 이종일(58·사진) 전 남광토건 부사장을 대보그룹 기획조정실장으로, 박찬호 전 삼호 상무를 대보건설 토목사업본부장으로 신규 영입했다고 16일 밝혔다. 이종일 부사장은 대보건설 경영지원본부장도 겸임한다.이종일 부사장은 1988년 대림산업에 입사해 테헤란과 두바이 등 해외 지사를 비롯 총무, 자재, 경영기획, 경영관리, 투자관리, 투자기획, 도시정비사업, 외주조달, 기획 업무 등을 담당했다. 고려개발과 삼호의 경영혁신본부장을 역임한 바 있다. 2017년 11월부터는 남광토건 관리지원본부장으로 재직했다.박찬호 전무는 1984년 삼호에 입사해 고속철도, 도로, 하수처리장, 택지공사 현장을 거친 후 토목사업본부장을 역임했다.대보건설 관계자는 ""30년 이상 건설회사에서 근무하며 쌓아 온 노하우와 풍부한 경험이 회사의 발전에 기여할 수 있다고 판단해 임원 2명을 영입했다""고 밝혔다."
남광토건,2019.09.16,1801,전체,'강경파' 볼턴 경질로 대북 유화 제스처…경협株 급등,"[이데일리 박태진 기자] 도널드 트럼프 미국 대통령이 그간 대북 관련 매파 성향이 짙었던 존 볼턴 백악관 국가안보보장회의(NSC) 보좌관을 경질하면서 남북경협주(株)들이 일제히 급등했다. 16일 마켓포인트에 따르면 남광토건(001260)은 이날 16.26% 뛰었고 좋은사람들(033340) 역시 12.9% 상승했다. 아난티(025980)와 경농(002100)은 8~9%대 상승률을 기록했고 조비(001550), 신원(009270), 현대건설(000720), 일신석재(007110), 인디에프(014990) 등도 4~6% 오름세로 이날 거래를 마쳤다. 트럼프 대통령은 10일(현지시간) 볼턴 전 보좌관을 경질했다. 볼턴 전 보좌관은 대표적인 대북 강경파로 지난해 북한 해법으로 ‘선(先) 핵폐기, 후(後) 보상’의 리비아식 모델을 언급하면서 북한으로부터 반발을 샀다. 트럼프 대통령도 “볼턴이 리비아식 모델을 언급한 것은 잘못”이라고 지적하기도 했다. 볼턴 경질과 함께 트럼프 대통령이 2020년 대선 승리를 위해 외교상 성과를 필요로 하는 상황인 만큼 북미 대화에 적극 나설 것이란 기대감이 조성되고 있다. 특히 볼턴 후임으로 거론되는 스티븐 비건 국무부 대북정책 특별 대표는 2월 북미정상회담을 앞두고 북한 비핵화 단계적 해법을 제기한 인물이다. 김영환 KB증권 연구원은 “강경 안보·외교 노선을 대표하던 볼턴의 퇴장은 미국 대외 정책 노선 변화를 예상케 한다”며 “북한은 이달 말 북미 실무협상 재개 의사를 밝힌 만큼, 단계적 비핵화 논의가 다시 살아날 가능성이 있고, 이에 따라 주식시장에서는 남북경협주가 다시 부각될 수 있다”고 설명했다."
남광토건,2019.09.16,1351,전체,"대보그룹, 이종일 부사장·박찬호 전무 영입","이종일 대보그룹 기획조정실장대보그룹이 그룹 기획조정실장과 대보건설 토목사업본부장 등 임원 2명을 신규 영입했다고 16일 밝혔다.대보그룹 기획조정실장은 이종일 전 남광토건 부사장이다. 대보건설 경영지원본부장도 겸임한다. 대보건설 토목사업본부장은 박찬호 전 삼호 상무다.이종일 부사장은 1988년 대림산업에 입사해 테헤란과 두바이 등 해외 지사를 비롯 총무, 자재, 경영기획, 경영관리, 투자관리·기획, 도시정비사업, 외주조달, 기획 업무 등을 담당했다. 고려개발과 삼호의 경영혁신본부장도 역임했다. 2017년 11월부터는 남광토건 관리지원본부장으로 재직했다.박찬호 전무는 1984년 삼호에 입사해 고속철도, 도로, 하수처리장, 택지공사 현장을 거친 후 토목사업본부장을 맡았다.대보건설 관계자는 “30년 이상 건설회사에서 근무하며 쌓아 온 노하우와 풍부한 경험이 회사의 발전에 기여할 수 있다고 판단해 이종일 부사장과 박찬호 전무를 영입했다”고 말했다.                            "
