회사,날짜,시간,카테고리,제목,본문
대동스틸,2019.09.23,1924,전체,"한미 정상, 해법찾나…다시 들뜬 남북경협株","[이데일리 김정훈 기자][이데일리 김대웅 기자] 지난 2월 이른바 ‘하노이 노딜’ 이후 된서리를 맞았던 남북경협주(株)들이 다시 기지개를 켜고 있다. 북미 실무협상 재개가 임박한 가운데 한미 정상회담이 열리게 되면서 북한 비핵화에 대한 새로운 해법이 나올지에 대한 관심이 고조되고 있다. 개성공단 재가동과 금강산관광 재개가 이뤄져야 한다는 목소리도 곳곳에서 나오면서 남북경협에 대한 기대감이 재차 높아지고 있다.23일 마켓포인트에 따르면 철도, 가스관, 도로, 자원개발 등 남북경협 관련주들의 주가는 이날 일제히 상승했다.가스관 관련주인 하이스틸(071090)은 16.7% 급등했고 부산산업(011390) 화성밸브(039610) 퍼스텍(010820)도 10% 넘게 올랐다. 코아스(071950) 대동스틸(048470) 좋은사람들(033340) 동양물산(002900) 등도 5~7%대 상승세로 마쳤다. 금강산 관광 관련주인 아난티(025980)와 현대엘리베이(017800)터도 1% 안팎의 상승률을 기록하며 나란히 나흘째 강세를 이어갔다.최근 한반도를 둘러싼 지정학적 변화가 감지되면서 남북경협에 대한 기대가 관련기업들의 주가 상승으로 이어지고 있다. 북한은 최근 잇달아 발사체를 쏘아올리고 있지만 미국을 직접 자극하는 핵실험이나 대륙간탄도미사일(ICBM) 발사는 피하는 모습이다. 이런 가운데 북미 실무협상 등 북미 대화 재개를 위한 긍정적 분위기가 조성되고 있고 이에 앞서 문재인 대통령은 우리시간으로 24일 오전 미국 도널드 트럼프 대통령과 정상회담을 가진다.윤창용 신한금융투자 연구원은 “2월 말 미국과 북한의 2차 정상회담에서 협상 결렬로 얼어붙었던 북한 문제가 실무진 간 대화의 물꼬가 다시 트이며 조금씩 실마리를 찾고 있다”며 “문재인 대통령이 22일부터 26일까지 미국을 방문해 트럼프 대통령과 정상회담을 갖는 등 정상들의 중재자 역할이 기대된다”고 밝혔다.미국이 대북 강경파인 존 볼턴 전(前) 백악관 국가안보보좌관을 경질한 뒤 곧바로 대화 재개를 위한 해빙 무드가 조성되고 있고, 북한 제재 완화를 포함한 모든 가능성을 열어둔 것으로 알려지면서 이제 남북 경협도 빛을 보지 않겠느냐는 기대다. 강경화 외교부 장관은 북미 간 비핵화 협상과 관련해 “북한이 얘기하고 있는 안전보장 문제나 제재해제 문제 등 모든 것에 열린 자세로 협상에 임한다는 것이 미국 측의 기본 입장”이라고 말했다.실제로 국내 곳곳에서는 금강산 관광 재개와 개성공단 재가동부터 추진해야 한다는 목소리가 높아지고 있다. 이해찬 더불어민주당 대표는 지난 20일 국회에서 “개성공단을 재개해 남북공단이 아닌 세계적 국제공단으로 만들어야 한다”고 강조했고, 김홍걸 민족화해협력범국민협의회 대표상임의장은 23일 성명서를 내고 이번 한미정상회담에서 개성공단과 금강산 관광에 관한 논의가 있어야 한다며 트럼프 대통령의 결단을 촉구했다.문 대통령이 한미정상회담에서 일부 대북제재 완화와 금강산관광 및 개성공단 재개 등을 요구할 것으로 전망된다는 보도도 나오고 있다. 한 지상파 방송사는 문 대통령이 다음주 유엔 총회에 참석해 한반도 평화 프로세스에 대한 기조연설을 하는 자리에서 남북이 공동으로 ‘비무장지대(DMZ) 지뢰 제거’에 나서자고 제안하는 방안이 유력하게 검토되고 있다고 전하기도 했다.이같은 분위기 변화에 경협주를 둘러싼 증권가의 관심도 한층 고조된 모습이다. 남북경협을 테마로 한 지수를 구성한 증권사도 나오고 있다. 금융투자업계 관계자는 “북한 비핵화와 남북경협을 둘러싼 일련의 흐름이 긍정적으로 흘러가고 있는 것으로 보인다”면서도 “최근 경협주들의 반등 폭이 작지 않은 만큼 투자에 신중을 기할 필요가 있다”고 말했다."
대동스틸,2018.12.03,1718,전체,미·중 무역분쟁 90일휴전에 수출株 ‘반등’…랠리 이어질까,"자료=마켓포인트 제공[이데일리 윤필호 기자] 국내증시의 최대 불안 요소였던 G2(미국·중국) 무역분쟁이 일시 중단되면서 3일 코스피·코스닥 지수가 2% 가까운 상승흐름을 보였다. 특히 우리나라 1, 2위 수출국인 G2의 장기간 무역분쟁에 그동안 억눌렸던 철강, 정보기술(IT), 소재·산업재 등 전통적 수출주(株)는 이날 강한 반등세를 보이며 무역분쟁 중단을 반겼다. ◇무역전쟁 일시적 완화…안도랠리 오나도널드 트럼프 미국 대통령과 시진핑 중국 국가 주석은 지난 1일 아르헨티나 부에노스아이레스에서 열린 정상회담 겸 업무만찬에서 무역분쟁 휴전에 합의했다. 두 나라 정상은 내년 1월1일로 예정된 2000억달러 상당의 제품에 대한 관세율 인상을 90일간 유예키로 합의했다. 이 기간 양국은 기술이전, 지적재산권(IP) 농업제품 수입 등 쟁점을 논의한다.무역분쟁의 일시적 중단으로 안도 랠리를 전망하는 분석이 제시됐다. 김병연 NH투자증권 연구원은 “미·중 무역분쟁 피해에 따른 낙폭과대주의 리바운드가 기대된다”며 “경기민감 수출주 중에서 소재·산업재, 중국관련 소비주, IT가 이에 해당한다”고 제시했다.실제로 국내 증시는 이날 반등 흐름을 보였다. 마켓포인트에 따르면 이날 코스피지수는 전거래일보다 1.67% 오른 2131.93에, 코스닥지수는 1.97% 오른 709.46에 장을 마쳤다. 대표적 반도체 수출주인 삼성전자(005930)와 SK하이닉스(000660)는 각각 3.35%, 1.29% 올랐다. 한미반도체(042700)와 마이크로프랜드(147760) 제주반도체(080220) 등 그동안 부진하거나 박스권에 머물러있던 전기전자(IT) 종목들도 약진했다.중국 관련 소비주 역시 오름세로 장을 마쳤다. 이날 화장품주인 세화피앤씨(252500)는 11.98%, 에스엔피월드(263920)와 토니모리(214420) LG생활건강(051900)은 각각 5.20%, 5.11%, 3.45% 상승 마감했다. 최근 무역분쟁 우려로 과도한 급락세를 보인 철강주도 반등했다. DSR(155660)철강이 13.39% 상승했고 GMR 머티리얼즈(032860) 포스코엠텍(009520) 대동스틸(048470) 동국제강(001230) 등이 8% 넘게 올랐다. 김미송 케이프투자증권 연구원은 “대부분의 수출·소비주는 올해 수요 감소로 가격을 못올렸고, 무역분쟁 우려까지 겹치면서 주가가 과도하게 빠진 측면이 있다”고 분석했다.◇회복세 보이겠지만…불안감 여전다만 향후 증시에 대한 전망은 다소 엇갈리고 있다. 이경민 대신증권 연구원은 “미·중 무역분쟁이 휴전국면에 들어간데다 11월 유가 하락은 미국 연방준비제도(FED) 통화정책 운신의 폭을 넓히는 계기가 될 것”이라며 “연말 외국인 자금이 유입될 가능성이 높고, 이러한 흐름은 내년 1분기까지 이어질 수 있다“고 봤다. 아울러 “신흥국 증시와 코스피 가격·밸류에이션 정상화국면은 순항 중”이라며 “원·달러 환율과 코스피간의 괴리율만 놓고 보더라도 코스피 지수 2300선 회복은 충분히 가능하다”고 덧붙였다.홍춘욱 키움증권 연구원도 “12월 한국증시는 강세 흐름을 이어갈 것”이라며 “11월 한국수출이 전년 같은 기간에 비해 4.5% 증가하고, 역대 3번째로 높은 수출 실적을 기록한 것이 이익 전망의 하향조정 흐름에 제동을 걸 것으로 기대된다”고 판단했다. 이어 “미·중이 2019년 1월 초로 예정된 관세 부과를 유예하기로 결정한 것은 ‘수출감소’에 대한 우려를 덜어줄 요인”이라고 덧붙였다.반면 낙관론을 경계하는 목소리도 나오고 있다. 특히 미국이 표방하는 보호무역주의가 여전하다는 지적이다. 김두언 KB증권 연구원은 “글로벌 경기 사이클이 정점을 지나 수축 국면으로 진입하고 있다”며 “25% 관세 부과도 영구적 철회가 아닌 조건부 유예라는 점을 감안하면 글로벌 경제 성장률의 실질적인 상향 조정 폭은 크지 않다”고 지적했다. 또 “최근 부각되고 있는 미국의 수입 자동차 관세 부과에서 중국이 자유로울 수 있을지 여부가 명확하지 않다”며 “최근 GM 공장 폐쇄로 트럼프 행정부의 수입 자동차 관세 부과 의지가 다시 힘을 얻고 있다”고 말했다."
대동스틸,2018.07.09 ,"1725
","

증권/금융

","경협주, 북·미 엇박자에 추풍낙엽"," 	폼페이오 방북 성과 실망에 현대시멘트·현대엘리베이터 10% 이상 주가 하락 	남북경협주의 주가가 북미 간 엇박자 소식에 일제히 주저앉았다. 특히 수혜 기대감에 급등했던 시멘트와 철도 등 인프라주의 하락세가 두드러졌다. 전문가들은 북미정상회담 이후 하락세인 남북경협주의 주가가 하향 안정세를 이어갈 것으로 전망했다.9일 한국거래소에 따르면 코스피시장에서 대호에이엘은 전 거래일보다 18.19% 하락한 3710원에 거래를 마쳤다. 대호에이엘은 현대로템의 1차 협력업체로, 철도연결 관련 수혜가 예상되는 경협주로 거론돼 왔다.남북경협 관련주는 이날 일제히 하락하면서 하락 폭 상위권에 포진했다. 부산산업(-19.20%), 조비(-17.98%), 대아티아이(-16.05%) 등 철도 관련주를 비롯해 현대시멘트(-18.15%), 고려시멘트(-14.80%) 등 시멘트주와 동양철관(-17.57%), 대동스틸(-15.65%), 화성밸브(-15.61%) 등 가스관 연결 수혜주들이 일제히 두 자릿수 하락률을 나타냈다. 현대엘리베이터(-13.18%), 현대로템(-10.17%), 현대건설(-8.09%) 등 현대그룹주도 큰 폭으로 내렸다.마이크 폼페이오 미국 국무장관의 미진한 방북 성과에 따른 실망 매물이란 분석이다. 폼페이오 장관은 지난 6~7일 방북했으나 '비핵화 시간표' 등 구체적 조치 합의에 실패한 것으로 알려졌다.증권가에서는 상반기 이상 급등했던 경협주의 주가가 정상으로 회귀하는 수순으로 판단하고 있다. 일부 경협주의 경우 최근 기록한 신고가가 연초 대비 6배 넘게 급등하는 등 과열 징후를 보이기도 했다.경협주 급등 과정에서 외국인투자자는 꾸준히 매도에 나선 바 있어 가격 하락은 예견된 수순이었다는 분석도 있다. 현대건설, 현대로템, 현대엘리베이터 등 대형 경협주들이 모두 상반기 코스피시장 외국인 순매도 종목 10위 안에 들었다.전문가들은 경협주의 하락세가 더 이어질 것이란 전망도 내놓고 있다. 하인환 SK증권 연구원은 ""최근 건설.기계업종에서 개인 매수세도 둔화되고 있다""며 ""경협주에 대한 과도한 기대와 실망이 반영되면서 안정 국면이 시작했다는 의미일 수 있다""고 말했다."
대동스틸,2018.06.25,1538,전체,숨 가빴던 남북 정상회담 두달…경협주 오너도 차익 실현에 바빴다,"[이데일리 이명철 기자] 문재인 대통령과 김정은 북한 국무위원장의 첫 만남 후 두 달이 지났다. 남북과 미국과 중국 등 주변국 이해관계가 첨예하게 대립한 지난 두 달여간은 긴박함의 연속이었다. 국내 증시에서는 남북 경제협력 수혜업체들의 최대주주들이 덩달아 바쁜 여정을 보냈다. 고점에 주식을 매도해 차익을 얻는가 하면 아예 회사를 매각하는 경우도 왕왕 발생한 것이다.◇물 들어올 때 노 저은 경협株 오너들지난 4월 27일 첫 남북 정상회담을 전후로 지금까지 약 두 달 동안 국내 증시는 남북 경협주(株) 장세였다고 해도 과언이 아니다. 25일 마켓포인트에 따르면 대표 경협주로 거론된 건설사 현대건설(000720) 주가는 4월 27일부터 이달 22일까지 약 22% 올랐다. 시멘트주인 현대시멘트(006390)의 경우 같은 기간 154%나 급등하기도 했다. 남북 경협 테마가 확산되며 주가가 오르자 최대주주의 주식 처분 사례도 늘었다.시멘트업체인 한일시멘트(003300)는 이 기간 최대주주가 가장 많은 금액의 지분을 처분한 곳 중 하나다. 허남섭 전 회장은 지난달 10~15일 네차례에 걸쳐 보유 주식 10만주를 약 184억원에 팔았다. 평균 처분가격은 주당 18만4000원 가량이다. 2016년만 해도 주가가 7만원대였고 올 초에도 10만원을 조금 넘었던 것을 감안하면 대규모 차익을 거뒀을 것이라는 분석이다. 같은 시멘트주 고려시멘트(198440)도 강대완 회장이 지난달 31일과 이달 4일 100만주를 처분했다.대북 송전주로 관심을 받은 대원전선(006340)은 서명환 대표와 아들인 서정석 상무가 지난달 11일 14일 총 200만주를 49억원 가량에 처분했다. 평균 처분가는 주당 2457원으로 지난해말(1075원)보다 두 배 가량 높다. 주가 급등기에 부자 경영진이 쏠쏠한 이득을 본 셈이다.북한 농업 지원 수혜주로 꼽힌 대동공업(000490)과 남·북·러 가스관 사업 관련주 동양철관(008970)은 특수관계에 있는 기업들이 일제히 주식을 처분했다. 대동공업의 경우 특수관계회사인 서울문고가 지난달 8일부터 이달 1일까지 40만주를 처분했다. 금액으로는 약 37억5600만원으로 주당 9390원 수준이다. 동양철관은 관계사 국인산업이 지난달 29~30일 40만주를 약 12억8500만원에 처분했고 최대주주인 동국실업도 지난 22일 23만여주를 9억4000만원 가량에 팔았다. 평균 처분가는 주당 3512원인데 이는 지난해말보다 무려 4배 이상 높은 수준이다. 이밖에도 남광토건(001260) 대동스틸(048470) 대아티아이(045390) 이화공영(001840) 신원(009270) 특수건설(026150) 한일시멘트(003300) 화성밸브(039610) 등이 최대주주 또는 특수관계인이 지분을 팔아 차익을 거둔 것으로 나타났다.◇책임경영 논란 소지…섣부른 투자 주의단순히 지분 처분이 아니라 최대주주 지위가 바뀐 사례도 여럿 있다. 금융투자업계에 따르면 지난 두 달간 남북 경협주로 분류된 기업 중 대한제강(084010) 이화전기(024810) 중앙오션(054180) 등은 공시를 통해 최대주주 변경 소식을 알렸다. 주식시장에서 철도 관련주로 분류된 중앙오션(054180)은 올해 1~4월에만 주가가 213%나 급등했다. 올해 4월 마리투자조합이 전병철 대표로부터 지분을 취득해 최대주주로 변경됐다. 하지만 불과 두달여만에 이 조합은 지분을 처리하면서 2대주주로 물러났던 전 대표가 다시 최대주주에 오르게 됐다. 이화전기는 당초 개인주주가 2.5% 가량의 지분율로 최대주주 지위를 확보했던 회사다. 대북송전주로 분류되며 올 2~3월 주가가 60% 가량 올라서 주목 받다가 6월 들어 계열사인 이트론이 3자배정 유상증자에 참여해 최대주주에 올랐다. 대한제강은 지난달 오치훈 사장이 70만주를 시간외매도해 아버지인 오완수 회장이 최대주주로 바뀌기도 했다.장기 경기 침체로 주가 침체를 겪은 제조업체 최대주주 입장에서는 이번 상승장이 모처럼 찾아온 기회일 수도 있다. 다만 남북 경협 수혜 기대감으로 해당 주식을 사들인 개인투자자 입장에서는 경영권에 대한 불확실성을 키울 수 있는 요인이라는 지적이다. 실제 대주주 지분 처분이 많았던 한일시멘트, 고려시멘트, 남광토건, 제룡전기 등은 이달 들어 주가가 두자릿수대 하락폭을 기록 중이다.한 스몰캡 애널리스트는 “당장 북한 개발에 따른 가시적인 성과가 나타나지는 않지만 주가가 선반응하면서 차익 실현 욕구가 높았을 것”이라며 “개인투자자 입장에서도 섣불리 투자하기보다는 추이를 지켜볼 필요가 있다”고 조언했다."
대동스틸,2018.05.02 ,"1713
","

증권/금융

",식을줄 모르는 남북경협주," 	北 인프라 개발 참여 기대..최대 상한가로 거래 마감 	남북정상회담 이후 증시에서 남북 경협 관련주들의 강세가 식을줄 모르고 있다. 북한의 사회 인프라 개발에 남한 업체들이 참여할 수도 있다는 기대감에 가스관, 건설, 철도 관련주들이 가격 제한폭을 넘나드는 상승세다.2일 코스피에서 부산산업은 30.00% 상승한 8만4500원에 거래를 마쳤으며, 현대로템은 22.10%, 대아티아이는 21.89%, 대호에이엘은 15.91% 오른 채 거래를 마쳤다. 푸른기술(14.81%), 에코마이스터(6.34%)도 상승 마감했다.상승세를 이어가고 있는 철도 관련주들은 주로 차량 유지.보수, 철도 신호제어.역무 자동화 시스템 개발 등을 주요 사업으로 영위하고 있다. 남북 정상이 판문점 선언에서 남북 철도 연결을 언급한 이후 본격적인 탄력를 받고 있다.농.축산업 관련주도 일제히 올랐다. 농약 제조사인 경농(29.93%)과 비료 업체인 조비(29.82%), 배합사료 업체 한일사료(29.80%)가 가격 제한폭 까지 오르면서 거래를 마감했다. 우성사료(27.51%)와 남해화학(19.73%)도 큰 폭으로 상승했다.남북의 경제협력이 실현될 경우 러시아 가스관 연결이 가능할 것이라는 기대감이 퍼지면서 관련 종목들도 강세다. 하이스틸은 19.44% 상승했으며, 동양철관(17.32%), 대동스틸(7.21%) 등이 급등세로 마감했다."
대동스틸,2018.03.05,1628,전체,대북특사단 뜨니 남북경협株도 ‘떴다’,"[이데일리 이명철 기자] 문재인 대통령의 친서를 품은 대북특별사절단이 방북길에 올랐다. 개성공단 폐쇄와 북한 미사일 도발 등 남북 관계 경색에 마음 고생하던 남북경제협력 관련주는 하락장에서도 모처럼 함박웃음을 지었다.5일 마켓포인트에 따르면 좋은사람들(033340) 주가는 전거래일보다 28.53% 급등한 3965원에 거래를 마쳤다. 인디에프(014990) 주가도 25.48% 뛰었으며 재영솔루텍(049630) 제이에스티나(026040) 신원(009270) 등도 이날 주가가 일제히 올랐다. 이들 기업은 개성공단에 입주했던 곳으로 박근혜 정부 시절 개성공단 폐쇄 방침에 현지 생산에 타격을 입은 바 있다. 개성공단 재가동은 문 대통령의 공약 사항이기도 한 만큼 이번 정부에서 다시 생산에 들어갈 것이라는 기대감이 커지고 있다.남북 경협 사업으로 거론되는 전선, 가스관 관련 업체들 역시 강세를 나타냈다. 이화전기(024810)가 6% 이상 오른 것을 비롯해 선도전기(007610) 광명전기(017040)도 4~5%대 상승 마감했다. 대동스틸(048470)은 17% 가까이 상승했으며 동양철관(008970) 엔케이(085310)도 6%대 상승폭을 기록했다. 평창 동계올림픽을 계기로 남북간 대화의 장이 마련되면서 수혜가 예상되자 투자자들이 매수세를 나타낸 것으로 풀이된다.청와대에 따르면 정의용 청와대 국가안보실장을 수석 대북특사로 하는 대북특사단은 이날 오후 성남 서울공항에서 특별기를 통해 평양으로 출발했다. 평창 올림픽 당시 북한 김여정 특사의 방문의 답방 형식으로 이뤄진 이번 방북은 한반도 평화정착과 남북관계 발전 위한 대화 마련에 나설 예정이다. 한반도 비핵화를 위한 북미 대화 여건 조성과 남북교류 활성화 등 남북관계 개선 문제를 포괄적으로 논의할 것으로 알려졌다."
대동스틸,2016.08.23,1800,경제,2분기 실적 좋아져 기대되는 알짜株는," 2분기 확연한 실적 개선과 함께 주가 상승이 기대되는 중소형주들이 있어 관심이 쏠린다. 특히 올해는 대형주에 비해 중소형주의 실적과 주가 연동성이 높을 것으로 기대된다는 분석이다.23일 하나금융투자에 따르면 열연 박판 등 철강 생산업체 대동스틸은 2분기 영업이익 31억4300만원과 순이익 29억6000만원을 기록해 전년 동기 대비 흑자전환했다. 포스코 협력업체로 알려진 이 회사는 지난해 48억원의 순손실을 기록하면서 주가수익비율(PER)이 -10배 이하로 하락했으나 올 2분기 실적을 반영한 최근 4개 분기 PER는 3.3배로 개선됐다. 저PER(마이너스 제외)는 기업의 이익 창출 능력 대비 주가가 싸다는 의미로, 낮을수록 주가 상승의 여지가 크다는 의미다. 한일철강과 종속회사인 강관업체 하이스틸도 2분기 흑자전환에 성공하며 주가 상승 기대감을 높이고 있다. 한일철강은 작년 한 해 100억원, 2분기에만 31억원의 순손실이 발생했으나 올 2분기 30억원 흑자로 돌아섰다. 올 2분기 실적을 반영한 PER는 3.6배다. 바이오디젤 생산업체 제이씨케미칼은 1분기 흑자전환에 이어 2분기 순이익이 전년 대비 410% 급증했다. 지난 1분기까지 11.2배였던 PER는 2분기 실적 반영으로 4.2배까지 낮아졌다. 일반적으로 1·2분기 실적은 주가와 연동성이 높은 편이지만 시장에서는 올해 대형주들이 펀드 환매 등 이슈로 실적과 주가 간 상관관계가 떨어지고 있다고 평가한다. 이경수 하나금융투자 연구원은 ""올 연말까지 유형 변경(액티브 환매)에 따른 자산운용사 등 기관투자가들의 포트폴리오 조정이 진행되고 있다""며 ""벤치마크에 포함되는 대형주들의 호실적이 차익실현 압박으로 이어지는 반면 그동안 기관들의 손이 닿지 않던 중소형주의 실적-주가 연동성이 높아질 수 있다""고 설명했다. [이용건 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        					"
대동스틸,2016.08.04,1837,전체,"[여의도 stock] 코스피, 하루 만에 2000선 회복","					삼성전자가 이탈리아 자동차업체 피아트의 부품사업 부문 자회사를 인수한다는 소식에 스마트카(자율주행차) 관련주가 급등했다. 인수가 성사될 경우 국내 관련업체들도 수혜를 받을 것이란 전망 때문이다. 삼성전자가 대주주로 있는 정보통신용 금형제조업체 에이테크솔루션은 4일 개장 초 수직 상승, 상한가까지 치고 올라 6890원에 장을 마쳤다. 자동차 전장부품 소프트웨어를 개발 중인 인포뱅크도 17.91% 올라 7900원에 마감했다. 엔지스테크널러지(3.72%), 파인디지털(7.82%)도 상승했다. 지난 이틀 하락한 삼성전자도 사업 확대 기대감에 반등했으나 차익실현 매물에 하락해 전날과 같은 151만7000원에 머물렀다. 코스피지수는 하루 만에 2000선을 회복, 2000.03에 장을 마쳤다. 미국 휘발유 재고가 급감한 사실이 알려지면서 국제유가가 40달러 선을 회복한 영향이 컸다. 전날 매도 우위였던 외국인은 419억원을 매수했다. 개인이 469억원을 매수하면서 유가증권시장이 전반적인 회복세를 보였다. 코스피도 하루 만에 700선을 회복했다. 국제유가 회복 소식은 정유업체 주식에도 영향을 줬다. 관련주인 SK이노베이션과 S-Oil, GS 등 석유와 가스 업종이 평균 2.58% 올랐다. 박근혜 대통령이 다음 달 러시아를 방문한다는 소식에 가스관 연결, 철도 관련 업체인 동양철관, 대동스틸 등 관련주가 2∼4%대 올랐다. 오뚜기와 기아차는 장중 근 1년 사이 최저가를 기록했다. 오뚜기는 실적 성장세에 대한 부정적 전망과 내수부진 소식이, 기아차는 삼성전자의 피아트 부품사업 부문 인수 소식이 악재로 작용했다.조효석 기자 promene@kmib.co.kr"
대동스틸,2015.01.22,1750,전체,김정은 러시아 방문 가능성에 가스관 관련주 상한가 쳤지만…,"		 실제 사업 불확실… 투자 주의 김정은 북한 국방위원회 제1위원장이 오는 5월 러시아를 방문할 가능성이 높다는 소식에 가스관 관련주가 급등했다. 김 제1위원장의 방문으로 한국과 러시아 간 가스관 사업과 철도 사업이 결실로 이어질 수 있다는 기대감 때문이다. 하지만 아직 실제 사업으로의 진행 가능성은 불확실한 만큼 관련 기업에 대한 투자는 주의할 필요가 있다는 지적이다.22일 유가증권시장에서 배관시설 등에 사용되는 강관을 제조하는 하이스틸(071090)은 가격제한폭까지 치솟으며 전날보다 14.97%(2,650원) 오른 2만350원에 거래를 마쳤다. 강관업체 동양철관(008970)(14.86%), 스틸플라워(087220)(14.84%), 대동스틸(048470)(14.90%) 등도 일제히 상한가를 기록했다.철도 관련주도 강세를 보였다. 전차 선로용 자재를 생산하는 세명전기(017510)(1.74%)를 비롯해 대아티아이(045390)(1.37%)와 대호에이엘(069460)(3.56%) 등 철도 관련 사업을 하는 업체들의 주가도 상승했다.이날 가스관 및 철도 관련주들이 일제히 오른 것은 김 제1위원장이 5월 모스크바에서 열리는 제2차 세계대전 승전 70주년 기념행사에 참석하면 한국과 러시아 간 가스 부설 사업과 철도 사업이 논의될 수 있다는 기대감이 반영된 결과로 풀이된다. 지난 21일(현지시간) 세르게이 라브로프 러시아 외무장관은 연두 기자회견을 통해 김 제1위원장의 참석 여부에 대해 긍정적인 답변을 받았다고 말한 바 있다.하지만 실제 사업 성과로 이어질 가능성은 여전히 불투명하기 때문에 섣부른 기대감만으로 투자하는 것은 주의해야 한다고 전문가들은 지적한다. 강관업계의 한 관계자는 ""사업 자체가 진행되고 있는 것도 아니고 설령 한국과 러시아 간 가스관 사업이 실제로 진행된다고 해도 시간이 많이 걸리는 일""이라며 ""과거에도 유사한 소식 때문에 주가가 많이 움직였는데 결국에는 제자리를 찾아갔다""고 말했다.강광우기자 pressk@sed.co.kr[ⓒ 한국미디어네트워크, 무단 전재 및 재배포 금지]"
대동스틸,2013.11.06 ,"1730
","

증권/금융

","박스권 갇힌 코스닥, 거래량도 ‘뚝’"," 	최근 코스닥시장이 두 달 연속 박스권에 갇혀 지지부진한 흐름을 보이는 가운데 매매빈도를 나타내는 상장주식회전율도 감소하고 있다.업황 부진에 따른 실망감, 개별이슈 소멸 등으로 투자심리가 위축되며 과거에 비해 테마주마저 종적을 감춘 모습이다.6일 한국거래소에 따르면 코스닥시장의 월별 상장주식회전율은 올 상반기 평균 40%대 이상을 유지했지만 7월 39.58%를 시작으로 8월(32.84%), 9월(26.89%), 10월(38.71%)로 점차 감소세를 보이고 있다.상장주식회전율은 일정 기간 거래량을 상장주식 수로 나눈 것이다. 회전율이 높으면 현재 주식수보다 거래가 많아진 것을 의미한다. 지난해 코스닥시장 상장주식회전율은 월 평균 58.72%로 전년도에 비해 14.07%포인트 상승했지만, 올 들어서는 감소세로 돌아섰다.올 상반기 중소기업 정책 기대감에 코스닥지수가 사상 최고치를 돌파하는 등 투자심리가 살아나는 모습을 보였다. 다만 하반기 들어 코스닥 대표기업들의 실적실망감, 개별 악재 등에 따라 코스닥시장 전반에 온기가 사라진 모습이다. 더욱이 최근 증시를 좌지우지하는 외국인의 수급이 대형주에 초점이 맞춰지면서 랠리에 동참하지 못하고 있다.실제 코스닥지수는 지난 9월 이후 줄곧 520~530선 박스권에서 답보상태를 보이고 있다. 9월과 10월 일평균 거래량도 각각 3억1074주, 3억2621주로 올 들어 최저수준이다.같은 기간 상장주식회전율 1위는 스페코로 42거래일간 평균 1259.95%의 회전율을 보였다. 다음으로는 딜리(1086.58%), 맥스로텍(1043.45%)이 차지했다. 이들 종목은 1주당 10번 이상의 손바뀜이 나타났다.이어 케이디씨(880.66%), 오성엘에스티(827.11%), TPC(791.33%), 코디에스(760.97%), 승화프리텍(703.05%), 하이비젼시스템(645.12%), SMEC(642.96%), 이-글 벳(637.86%), 이화공영(627.80%), 대동스틸(612.24%), 우수AMS(588.13%), 흥구석유(539.59%), 상신이디피(523.51%) 등이 이름을 올렸다.다만 지난해 정치 테마주들이 기승을 부리며 상장주식회전율 상위 종목들의 주가가 급등한 반면 최근 대부분 종목은 주가가 하락하거나 이유없는 묻지마 급등세가 나타난 것으로 알려졌다.방위산업 관련주인 스페코는 북한 핵 위협 등에 주가가 출렁거렸지만 결국 11.71% 하락했다. 같은 기간 케이디씨는 주가가 135.9%나 상승하는 모습을 보였지만, 뚜렷한 상승재료가 없는 상황이다. 이 기업은 2011년 이후 적자가 지속되고 있다. 오성엘에스티도 31.56% 주가가 상승했지만 지난 7월 채권금융기관에 공동관리를 신청했으며, 최근 재무구조 개선을 위해 다양한 방안을 강구 중이다.특히 테마주 중에는 유일하게 3차원(3D)프린터 관련주의 광풍이 거셌다. 상장주식회전율 상위 10개 종목 가운데에는 딜리, 맥스로텍, TPC, 하이비젼시스템 등이 포함됐다. 다만 아직 이들 종목은 관련 3D프린터 관련 사업으로 매출이 전무한 상황이다.증권사 리서치 한 연구원은 ""최근 모멘텀이 사라지면서 개미들마저 코스닥시장에 대한 관심이 떨어진 상황이다. 당분간 이 같은 현상이 지속될 것으로 보인다""며 ""다만 상장주식회전율이 높은 기업은 변동성이 심해 급락 시 손해를 볼 수 있어 매매에 주의해야 한다""고 조언했다.kiduk@fnnews.com 김기덕 기자"
