회사,날짜,시간,카테고리,제목,본문
제이에스티나,2019.12.20,0300,사회,‘불공정 주식거래 혐의’ 김기석 제이에스티나 대표 구속,兄 김기문 中企중앙회장과 공동대표국내 패션 주얼리 브랜드 ‘제이에스티나’ 대표이사 김기석 씨(58)가 악재성 공시를 앞두고 있던 회사의 미공개 내부 정보를 이용해 회사 주식을 내다 팔아 손실을 피한 혐의(자본시장법 위반)로 구속됐다. 김 씨는 이 회사 공동 대표이사를 맡고 있는 김기문 중소기업중앙회 회장의 동생이다. 서울남부지법 김선일 영장전담 부장판사는 “증거를 없애고 도망칠 우려가 있다”며 김 씨에 대한 구속영장을 18일 발부했다. 김 씨가 주식을 처분하는 데 관여한 이 회사 공시 책임자인 상무이사 이모 씨도 함께 구속됐다.검찰 등에 따르면 김 씨를 비롯한 이 회사 사주 일가 5명은 보유하고 있던 약 50억 원 상당의 회사 주식 54만9633주를 올 1월 29일부터 2월 12일까지 팔았다. 회사도 2월 12일 자사주 80만 주를 매도했다. 그런데 이 회사는 2월 12일 자사주 매도 사실을 알리면서 영업적자가 2017년 5000만 원에서 2018년 8억6000만 원으로 늘었다고 발표했다. 이런 발표가 있기 직전 이 회사 주가는 주당 9250원이었는데 한 달 뒤인 3월 12일엔 6070원까지 떨어졌다. 올 6월 금융위원회 산하 증권선물위원회는 주식을 처분한 김 씨 등에 대한 수사를 검찰에 의뢰한 바 있다. 고도예 기자 yea@donga.com주요기사 
제이에스티나,2019.12.17,1400,전체,호재 온 줄 알았는데…흔들리는 대북 관련주,"스티븐 비건 미국 국무부 대북정책특별대표가 16일 오전 서울 종로구 외교부 청사에서 한미 북핵수석대표협의를 마친 뒤 이도훈 외교부 한반도 평화교섭본부장과 함께 기자회견을 하고 있다. / 사진=이기범 기자 leekb@대북 관련주들이 호재와 악재가 혼재된 상황 속에서 흔들리고 있다. 현재 대북 관련주들은 고점 대비 절반 이하로 떨어진 경우가 많은데, 북미 관계의 가시적인 진전 없이는 회복이 불투명할 것으로 전망된다. 17일 오후 1시55분 현대엘리베이 (68,300원 300 -0.4%), 현대상선 (3,550원 130 3.8%), 자화전자 (10,600원 300 -2.8%) 등 대부분 대북 관련주들이 하락세다. 대아티아이 (5,240원 60 -1.1%)와 남광토건 (11,300원 150 -1.3%) 등 남북관 철도·도로 협력사업 관련주들은 이날 장 초반 5%가 넘는 상승세를 보이기도 했으나 오후에 하락세로 돌아섰다. 이날 외신 등에 따르면 중국과 러시아는 대북 제재를 일부 해제하는 내용을 담은 결의안 초안을 유엔 안보리에 제출했다. 해당 결의안에는 북한의 해산물과 섬유 수출 금지 규정, 오는 22일까지로 예정됐던 해외파견 북한 노동자 송환조치를 철회하는 내용이 담긴 것으로 알려졌다. 또 남북철도사업이 이뤄질 수 있도록 하자는 내용도 포함된 것으로 전해졌다.중국과 러시아는 결의안에 ""새로운 북미 관계를 구축하고, 상호 신뢰를 쌓으며 한반도의 지속적이고 안정적인 평화를 구축하는 노력에 동참하면서 북·미 간 모든 레벨의 지속적인 대화를 환영한다""고 밝혔다.이같은 소식에 장 초반 대북주들은 일제히 오름세를 보였다. 최근 스티븐 비건 미 국무부 대북정책 특별대표가 북한에 대화를 제의한데 힘입어 대북주들이 상승세를 탄 상황인데, 중국과 러시아로부터 들려온 소식에 이를 이어갈 수 있을 것으로 보였다. 그러나 로이터통신에 따르면 미 국무부에선 곧바로 ""선제적 대북제재 완화를 거론할 때가 아니다""란 발언이 나왔다. 도널드 트럼프 미국 대통령 역시 백악관에서 북한과 관련한 기자들의 질문에 ""우리는 (북한의 상황을) 지켜보고 있다. 나는 무언가 일이 벌어진다면 매우 실망할 것""이라며 ""만약 그렇게 된다면 우리는 그에 대해 대응할 것""이라고 밝혔다.여기에 비건 특별대표의 대화 제안에 대해 북한이 아직까지 아무런 응답을 내놓지 않자 투자자들은 곧바로 돌아섰다. 4거래일 연속 상승세를 이어가던 에코마이스터 (4,475원 80 -1.8%), 제이에스티나 (4,065원 15 0.4%), 좋은사람들 (3,015원 10 -0.3%) 등은 결국 이날 상승폭을 반납했다.현재 대북 관련주들은 대체로 2차 북미정상회담 전 기록한 고점 대비 절반 이하 수준까지 내려와있는 상태다. 전문가들은 북미관계의 가시적인 진전 없이는 어떤 이벤트에도 주가가 장기간 상승하기는 어려울 것이라고 전망한다.증권업계의 한 관계자는 ""2년여간 기대감으로 대북주들이 움직였으나 지금은 북미관계를 낙관할 수 없는 상황이라 투자자들이 매우 조심스럽게 접근하고 있다""며 ""북미 대화가 재개된다고 하더라도 당시 기록했던 고점 수준까지 회복하기는 쉽지 않다""고 말했다.또 다른 증권사 애널리스트는 ""이미 북한 개방에 대한 기대감은 많이 훼손된 상황""이라며 ""대화 재개 후 실제 수혜가 확실해질 때 대북 관련주에 접근하는 것이 바람직하다""고 조언했다.한편 비건 특별대표는 이날 일본으로 출국할 예정이다. 그 전에 북한이 대화에 응하지 않을 경우 북미 관계는 더욱 경색될 가능성이 높다.                            "
제이에스티나,2019.12.13,0312,산업,이랜드·블랙야크 아동용 옷에서 유해물질 검출,"이랜드리테일, 블랙야크, 제이에스티나 등 유명 브랜드의 일부 아동용 의류·가방 제품 등에서 유해 물질이 검출돼 정부가 리콜(시정 조치)을 명령했다.산업통상자원부 국가기술표준원은 아동 겨울 의류와 전기 매트, 기름 난로 등 겨울용품을 비롯한 총 52개 품목 1271개 제품을 조사한 결과, 99개 제품이 화재·화상 위험이 있거나 유해 물질이 검출돼 리콜 명령을 내렸다고 12일 밝혔다.리콜 명령을 받은 어린이 제품은 47개에 이른다. 블랙야크의 다운재킷(모델명·bk투미다운자켓)과 이랜드리테일의 털모자(RGAM20B2C), 아가방앤컴퍼니의 다운 점퍼(에리카다운JP) 등에선 시력·피부·소화기·호흡기 장애 등을 일으키는 포름알데히드가 검출됐다. 제이에스티나의 백팩(JHTCHB9AS355BL980)에선 피부염·각막염·중추신경장애 등을 유발하는 중금속인 납이 기준치를 초과했다. 이 밖에 전기 찜질기, 전기 매트 등 전기용품 35개, 가스라이터, 핫팩 등 생활용품 17개도 화재·화상 위험으로 강제 수거 대상이 됐다. 국표원은 제품안전정보센터(safetykorea.kr) 및 행복드림(consumer.go.kr)에 리콜 제품 정보를 공개한다."
제이에스티나,2019.11.15,1751,증권,北 금강산 최후통첩에도 되레 상승한 남북경협주," 북한이 우리 정부를 상대로 `금강산 시설 철거` 관련 최후 통첩을 보냈음도 불구하고 상당수 남북 경제협력주가 되레 올라 눈길을 끌고 있다.15일 거래소에 따르면 건설종목 중 경협주로 꼽히는 현대건설, GS건설 주가는 전 거래일 대비 각각 1.50%, 4.64% 올랐다. 철도 경협주도 비슷한 분위기다. 부산산업(1.53%) 대아티아이(1.01%) 에코마이스터(4.33%) 등 오히려 오른 종목이 많았다. 개성공단 관련주인 인디에프(1.19%) 좋은사람들(1.55%) 신원(0.48%) 제이에스티나(0.00%) 등도 마찬가지였다. 다만 금강산 관광지구의 골프장과 리조트 운영권을 보유한 아난티는 1만1950원으로 전날 대비 2.85% 하락했다. 대표적 금강산 관광 경협주인 현대엘리베이터는 7만6800원으로 전날 종가에서 등락 없이 장을 마감했다. 현대엘리베이터는 금강산 관광을 주도한 현대아산의 최대주주다. 지난달 23일 김정은 북한 국무위원장이 ""너절한 남측 시설들을 남측의 관계 부문과 합의하여 싹 들어내도록 하라""고 지시하자 주가가 우수수 떨어졌을 때와는 딴판이다. 이에 대해 증권가에서는 학습효과와 함께 큰 틀에서 볼 때 오히려 북한과 미국 간 대화 분위기가 다시 무르익고 있는 점을 주목해야 한다고 분석했다.이동헌 대신증권 애널리스트는 ""현재 남북 경협은 전적으로 북·미 협상에 달려 있기 때문에 양자 간 대화 분위기가 강해지면 대국적으로는 경협주에 호재""라고 설명했다. 아난티 등 금강산과 직접적 관련이 있는 종목에는 악영향을 줄 수 있지만, 다른 경협주에는 수혜라는 분석이다.실제로 북·미 비핵화 실무협상 북측 대표인 김명길 외무성 순회대사는 지난 14일 밤 스티븐 비건 미국 국무부 대북정책특별대표에게서 다음달 중에 다시 협상하자는 제안을 받았다고 밝혔다.  [우제윤 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        					"
제이에스티나,2019.11.08,0302,사회,"김기문 中企중앙회장 운영, 제이에스티나 압수수색","검찰이 김기문 현 중소기업중앙회장이 운영하는 보석 회사 제이에스티나 본사 사무실을 압수수색했다.서울남부지검 금융조사1부(임승철 부장검사)는 지난 6일 송파구의 제이에스티나 본사 사무실을 압수수색해 회계 자료와 PC 저장 자료 등 관련 증거를 확보했다고 7일 밝혔다. 앞서 제이에스티나 대표이사이자 최대주주인 김기문 중소기업중앙회장 일가는 악재 공시가 나오기 전에 미공개 정보를 이용해 보유하고 있던 제이에스티나 주식을 처분한 것이 아니냐는 의혹이 제기된 바 있다.김 회장 동생과 자녀 2명은 지난 1~2월 49억여원 상당의 제이에스티나 주식 약 55만주를 팔아치웠다. 2월 12일 장 마감 직후 제이에스티나는 영업적자가 2017년 5000만원에서 작년 8억6000만원으로 확대됐다는 내용의 실적을 발표했고 이후 주가는 하락했다.증권선물위원회는 해당 사안에 대해 수사가 필요하다고 보고 사건을 지난 6월 검찰에 이첩했다. 검찰은 압수수색과 관련자 소환 등을 통해 사실관계를 파악하고 있다. 다만 제이에스티나 측은 의혹 제기 당시 ""회사가 재무 문제로 자사주를 매각했다""고 해명한 바 있다."
제이에스티나,2019.10.23,1748,증권,김정은 한마디에…대북株 추풍낙엽," 김정은 북한 국무위원장이 금강산에서 남측 시설물 전부 철거를 지시했다는 말 한마디에 남북 경협주가 된서리를 맞았다. 23일 거래소에 따르면 대표적인 금강산 관광 경협주인 현대엘리베이터 종가는 7만4400원으로 전일 대비 7.46%(6000원) 내렸다. 현대엘리베이터는 금강산 관광을 주도한 현대아산의 최대주주(지난해 말 기준 69.67%)다. 금강산 남한 시설 대부분을 현대아산이 소유하고 있다. 금강산 관광지구의 골프장과 리조트 운영권을 보유한 아난티도 전날 대비 1000원(8.16%) 하락한 1만1250원으로 장을 마감했다. 이날 금강산 관광지구뿐 아니라 다른 남북 경협 관련 종목 주가도 일제히 하락세를 나타냈다. 개성공단 관련주인 인디에프(-6.18%), 좋은사람들(-3.82%), 신원(-4.51%), 제이에스티나(-3.90%) 등이 대표적이다. 남북 철도 연결 관련주인 현대로템(-4.7%), 부산산업(-2.92%), 에코마이스터(-5.32%), 대아티아이(-5.52%), 푸른기술(-3.50%) 등도 나란히 주가가 약세를 보였다. 건설주 중에는 현대건설(-3.68%), GS건설(-1.54%) 등이 영향을 받았다.이날 노동당 기관지 노동신문은 김 위원장의 금강산 현지지도 소식을 보도했다. 보도에 따르면 김 위원장은 ""보기만 해도 기분이 나빠지는 너절한 남측 시설들을 남측의 관계 부문과 합의하여 싹 들어내도록 하고 금강산의 자연경관에 어울리는 현대적인 봉사시설들을 우리 식으로 새로 건설해야 한다""고 말했다. 전문가들은 김 위원장 발언의 배경과 진행 추이를 지켜봐야 한다는 입장이다. 이동헌 대신증권 애널리스트는 ""남북 경협주의 경우 정치 상황에 따라 주가가 크게 요동칠 수밖에 없는데 예상하지 못한 악재를 만난 상황""이라며 ""김 위원장이 `합의`라는 표현을 쓴 것을 좋게 보면 선대의 약속을 인정하겠다고 해석할 수도 있지만 전격적으로 철거할 수도 있어 결국 지켜볼 수밖에 없다""고 설명했다. 이어 ""투자자들로서는 상황을 잘 살펴보면서 대응해야 한다""며 현대엘리베이터의 목표주가는 10만원으로 일단 유지했다. [우제윤 기자 / 안갑성 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        					"
제이에스티나,2019.10.15,1519,전체,삼성물산 부활 시동…빈폴 리뉴얼로 ‘패션명가’ 재건 노린다,"정구호 디자이너 겸 삼성물산 패션부문 고문이 15일 열린 기자간담회에서 새롭게 디자인한 빈폴 로고에 대해 설명하고 있다. (사진=삼성물산 패션부문)[이데일리 이윤화 기자] 15일 오전 인천 일진전기 공장. 영화 세트장으로 사용될 법한 폐공장 터에서 대한민국 대표 캐주얼 브랜드인 ‘빈폴(BEANPOLE)’이 재도약을 선언했다. 삼성물산 패션부문은 이날 기자간담회를 열고 로고부터 상품 라인까지 브랜드 전반을 리뉴얼한 빈폴의 새로운 모습을 공개했다. 4050세대를 타깃으로 하던 오래된 이미지를 버리고 패션 시장을 선도해가던 전성기 모습을 찾겠다는 목표다. 빈폴의 변화를 이끄는 선봉장 역할에는 제일모직 당시 전성기를 이끌었던 정구호 디자이너 겸 삼성물산 패션부문 고문이 나섰다. 정 고문은 앞서 휠라, 제이에스티나 등 패션 브랜드 리뉴얼을 성공적으로 이뤄낸 바 있다. 정구호(중간) 고문이 15일 일진전기 인천공장에서 빈폴 30주년 기념 리뉴얼 ‘다시 쓰다(Rewrite)’ 프로젝트를 발표하고 있다. (사진=삼성물산 패션부문)◇서른살 맞은 빈폴, 한국적 감성으로 재도약 빈폴 리뉴얼 간담회에는 이건희 삼성 회장의 차녀 이서현 전 사장을 대신해 지난해부터 삼성물산패션을 이끌어 온 박철규 패션부문장과 빈폴 리뉴얼 프로젝트 총책임을 맡은 정 고문이 자리했다. 박철규 패션부문장은 “이번 프로젝트는 30주년을 맞은 빈폴이 새로운 브랜드의 생명력을 가지고 100년 이상 이어질 수 있도록 하는 작업”이라고 소개했다.빈폴은 1989년 한국적인 캐주얼 패션을 콘셉트로 시작해 올해 서른 살은 맞은 국내 대표 패션 브랜드 중 하나다. 30여 개가 넘는 삼성물산 패션 브랜드들 중 가장 큰 매출 비중을 담당하고 있다. 삼성물산 측은 빈폴 리뉴얼을 통해 패션 부문 전반의 실적 개선에도 도움을 얻을 것으로 기대하고 있다. 삼성물산 패션부문은 2019년 2분기 매출 4160억원, 영업이익 100억원을 기록했다. 성장세를 간신히 유지하고 있지만 국내 패션시장의 침체와 LF 등 경쟁기업의 견제도 치열한 상황이다. 실제로 오랫동안 국내 패션 시장에서 1위를 지켜왔던 삼성물산은 지난해 패션부문 1조7594억원을 기록해 LF(6개 패션 계열사 포함)에 비해 450억 가량 뒤처지기도 했다.또한 빈폴의 대대적 리뉴얼은 삼성물산의 패션에 대한 애착과 투자 의지를 방증하기도 한다. 지난해 이 전 사장이 삼성물산을 떠나면서 패션 사업을 철수하는 것이 아니냐는 업계 추측이 있었지만 빈폴 등 패션 부문 혁신을 통해 뜬소문도 잠재운 상태다. 빈폴 ‘다시쓰다’ 프로젝트 결과물로 탄생한 남성복 컬렉션. (사진=삼성물산 패션부문)◇정구호 디자이너 “브랜드 이름 빼고 ‘싹’ 바꿨다”지난 3월부터 빈폴 컨설팅 고문으로 합류한 정 고문은 향후 2년 동안 빈폴 30주년 리뉴얼 ‘다시 쓰다(Rewrite)’ 프로젝트를 이끈다. 정 고문이 2개월 동안 아카이빙 작업을 통해 선택한 브랜드 콘셉트는 한마디로 ‘온고지신(溫故知新)’으로 표현할 수 있다. 옛것을 익히고 새것을 안다는 뜻처럼 빈폴이라는 브랜드가 탄생하고 성장해왔던 한국의 역사에 집중했다. 1960~70년대 경제 발전 시기 한국의 전통과 서양의 패션 트렌드가 오묘하게 섞인 과거의 감성을 재현하고 재해석하는데 중점을 둔 것이다. 정 고문은 “그동안 빈폴은 영국이나 미국 등 해외 문화를 차용해 왔는데 한국적인 특징을 살려보면 어떨까 생각했다”면서 “그중에서도 특히 해방과 전쟁 이후 산업이 발전하고 생활과 문화가 현대화하는 과정에서 들어온 서양문물과 현대적인 스타일의 재해석이 이루어진 시기 패션에 집중했다”고 말했다. 빈폴의 새로운 한글 로고(왼쪽)와 자음 ‘ㅂ’과 ‘ㅍ’을 활용한 체크 무늬.(자료=삼성물산 패션부문)가장 큰 변화는 브랜드 로고에서 나타난다. 한국인의 정서·문화·철학을 반영한 만큼 영어로 표기하던 빈폴 로고를 처음으로 한글로 바꿨다. 서체 디자이너 두 사람이 모인 스튜디오 양장점과 협업해 ‘빈폴체’를 만들고 이를 상품과 브랜드에 적용했다.‘ㅂ’, ‘ㅍ’ 등의 자음을 체크 패턴에 세련되게 디자인해 빈폴만의 독창적인 체크 패턴을 창조했다. 오프라인 매장 간판 역시 모두 교체해 나갈 계획이다. ‘자전거 탄 키다리 아저씨’로 대표되는 빈폴 로고는 아이와 여성까지 추가해 다양성을 존중하는 문화를 반영하고 전 세대를 커버할 수 있도록 했다. 빈폴 맨·레이디스·골프·악세서리 전체 컬렉션 상품에 새로운 로고가 적용된다. 정구호(왼쪽) 고문과 박남영 빈폴사업부장이 새롭게 론칭한 브랜드 팔구공삼일일(890311)’ 전시장에서 포즈를 취하고 있다. (사진=삼성물산 패션부문)◇미래세대 책임질 ‘890311’ 론칭…‘밀레니얼 겨냥’정 고문은 이번 브랜드 리뉴얼을 통해 세대 간의 차이을 줄이고 빈폴의 인지도를 밀레니얼을 포함한 전세대로 넓히는 것을 큰 목표로 잡고 있다. 그 일환으로 빈폴이 처음 탄생한 1989년 3월 11일을 모티브로 삼은 ‘팔구공삼일일(890311)’ 라인을 출시했다. 정 고문의 컨설팅 아래 890311 라인의 디자인을 맡은 성호경 수석디자이너는 “1960~70년대 당시 젊은이들이 입던 스트릿 웨어(street wear)에 스포츠 감성을 더해 밀레니얼 세대에게 어필할 수 있는 상품”이라면서 “핵심 아이템은 ‘럭비 티셔츠’로 오버사이즈 실루엣이 특징”이라고 설명했다.890311은 공장, 버스, 택시기사 등 유니폼과 럭비선수들이 입었던 운동복에서 영감을 받아 동시대적인 디자인과 실용성을 가미한 제품들을 선보인다. 한국의 대표 꽃인 오얏꽃(자두의 순 우리말)을 상징화한 디자인을 적용했고, 빈폴 기존 라인들과 달리 색감 자체도 원색이나 형광 계열을 사용했다. 또 숫자로 브랜드 로고를 표현해 젊은 감각을 살렸다. 삼성물산 측은 890311을 향후 온라인 전문 브랜드로 성장시키고, 올해부터 중국과 유럽권 등 글로벌 시장에도 선보일 계획이다. 890311은 빈폴의 메인 라인보다 가격도 10~20% 정도 낮은 수준으로 책정해 젊은 소비자들의 접근성을 높였고 플래그십 스토어도 준비 중이다.박남영 빈폴사업부장(상무)은 “기존 고객은 물론 밀레니얼 및 Z세대와의 소통을 확대하고 새로운 브랜드 경험을 제공하는 한편 한국적 독창성을 토대로 글로벌 사업 확장의 초석을 마련할 것”이라고 말했다."
제이에스티나,2019.10.07,1143,전체,"중기중앙회, 위탁선거 의무화에 ""비용부담 크다"" 반발","국회가 중소기업중앙회장을 비롯해 중기중앙회 산하 전국 단위 조합장과 업종별 연합회장 선거를 모두 의무적으로 외부에 위탁하는 방안을 추진하자 중기중앙회가 반발하고 나섰다. 개별 조합의 자치권이 훼손되고 선거 비용부담이 커질 수 있다는 이유에서다. 하지만 사회·경제적 위상과 영향을 고려하면 위탁선거 의무화가 바람직하다는 지적도 나온다.  7일 중소기업계에 따르면 중기중앙회 조합정책실은 최근 '중소기업협동조합법 개정안'과 관련 산하 조합장 등을 위한 참고용으로 작성한 '검토의견 문건'을 통해 ""신중한 접근이 필요하다""고 주장했다. 앞서 유승희 더불어민주당 의원은 지난달 19일 중기중앙회장·전국 단위 조합장·업종별 연합회장 선거를 모두 중앙선거관리위원회의 위탁관리 대상으로 의무화하는 내용의 관련법 개정안을 대표 발의했다. 이에 중기중앙회는 검토문에서 ""조합 운영의 자치권 훼손 우려가 있고 개별 조합의 위탁비용 부담이 발생할 수 있다""며 맞섰다. 중기중앙회는 회장 선거에 한해서만 재량에 따라 위탁 여부를 결정할 수 있는 '임의 조항'을 적용받고 있다. 중앙선관위에 따르면 중기중앙회가 지난 2월 치른 제26대 회장 선거에 대한 위탁관리비용으로 지급한 대금은 5500만원 선이다. 법안이 적용되면 회장 선거뿐 아니라 250여개 전국 단위 조합과 23개 업종별 연합회 선거와 관련한 위탁 비용까지 발생할 전망이다. 중기중앙회는 조합장들을 대상으로 개정안에 대한 찬반 의견을 묻는 긴급 공문도 발송했다. 개별 조합장들이 중앙회 차원의 검토의견을 크게 의식하면 법안에 대한 반대여론이 득세할 수 밖에 없다. 중기중앙회의 사회·경제적 위상이 높아 위탁선거 의무화가 적절한 조치란 반론도 있다.  농협·수협 등 다른 주요 협동조합들은 산하 조합들까지 의무적으로 위탁선거를 치르는 것을 고려하면 형평성에 맞지 않다는 것이다. '중통령'(중소기업 대통령)으로 불리는 김기문 현 중기중앙회장(제이에스티나 회장)은 지난 4일 문재인 대통령의 초청을 받아 경제단체장 자격으로 간담회도 가졌다.중기중앙회장처럼 선거 임의위탁 대상인 곳은 노후주택 거주민들이 특정 정비구역에서 주택 신축을 위해 설립하는 '정비사업조합' 등이 있다. 유승희 의원실 관계자는 ""선거 투명성 및 공정성 제고가 운영의 자율권을 저해한다는 의견엔 공감하기 어렵다""며 ""비용 부담이 투명성, 공정성 제고라는 가치보다 앞설 수 없다""고 했다. "
제이에스티나,2019.09.08,1534,전체,[단독]김기문 중기중앙회장 '보은인사' 논란…기소된 측근 영입,"김기문 제이에스티나 회장이 지난 2월 28일 서울 영등포구 여의도 중소기업중앙회에서 열린 제57회 정기총회에서 제26대 중소기업중앙회 신임회장에 당선된 뒤 협회기를 흔들고 있다. 결선투표 결과 김기문 후보는 296표를 득표하며 과반인 55.5%의 득표율을 기록했다. /사진제공=중소기업중앙회김기문 중소기업중앙회 회장(제이에스티나 회장)이 불법 사전선거운동 혐의로 재판에 넘겨진 측근을 중기중앙회 비서실 직원으로 영입해 논란이 일고 있다. 중기중앙회 안팎에서는 ‘최악의 보은인사’라는 비판이 나온다.8일 중소기업계에 따르면 중기중앙회는 지난 2일 김기문 회장의 제이에스티나 비서실장 출신 김씨를 비서실 직원(3급 별정직)으로 채용하는 인사발령을 낸 것으로 확인됐다. 김씨는 지난달 검찰로부터 벌금형으로 약식기소돼 법원의 처분 명령을 기다리고 있다. 지난 2월 제26대 중기중앙회장 선거를 앞두고 제이에스티나 본사에서 김 회장을 인터뷰한 기자에게 20여만원 상당의 시계와 현금 50만원을 제공하는 등 중소기업협동조합법 위반 혐의다. 당시 사건은 금품을 제공받은 기자가 선거관리위원회에 이를 제보하고, 중기중앙회장 선거를 관리하던 서울특별시선거관리위원회가 김씨를 검찰에 고발하면서 알려졌다. 중기중앙회는 인사규정 상 김씨의 채용에 문제가 없다는 입장이다. 중기중앙회 인사규정에 따르면 형사사건에서 금고형 이상 형을 확정받아야지만 채용결격사유에 해당한다. 하지만 중기중앙회 안팎에선 도를 넘어선 ‘보은인사’로 문제가 심각하다는 지적이 잇따르고 있다. 중기중앙회와 무관한 김 회장의 개인 회사 직원인 데다 사전선거운동으로 논란의 중심에 선 인물이기 때문이다. 중기중앙회 한 조합장은 “아무리 회장의 회사에서 회장을 모시던 직원이라고 해도 사전선거운동으로 기소된 인물을 직원으로 채용할 수 있느냐”며 “상식적으로나 도덕적으로나 맞지 않다”고 꼬집었다. 이참에 중기중앙회 회장 선거와 직·간접적으로 연관이 있는 외부인사 채용을 제도적으로 금지해야 한다는 목소리도 나온다. 중기중앙회 한 관계자는 “회장 선거에서 임직원의 중립적 자세를 요구해온 중기중앙회가 현 회장 당선을 도우려다 범죄 혐의가 드러난 외부인사를 채용한 것은 앞뒤가 맞지 않다”며 제도 개선이 시급하다고 주장했다.한편 금품선거 혐의를 받아온 김 회장도 불법 사전선거운동 혐의로 재판에 넘겨졌다. 서울남부지검은 지난달 23일 중소기업협동조합법 위반 혐의로 김 회장을 불구속 기소했다. 김 회장은 중기중앙회장 선거를 앞둔 지난해 11∼12월 총 4회에 걸쳐 유권자들과 식사하면서 지지를 호소하고 이들에게 시계 등 금품을 제공한 혐의를 받고 있다                            "
제이에스티나,2019.08.25,1704,경제,두피 현미경·샤워 팩…이색 뷰티 용품 열전," 2008년 처음 등장한 쿠션 형태 파운데이션 제품은 뷰티 시장뿐 아니라 소비자에게도 큰 변화를 가져왔다. 화장에 소요되는 시간과 사용하는 제품 개수를 절반으로 줄였기 때문이다. 그동안 경험하지 못했던 콘셉트의 제품에 사람들은 열광했다. 하지만 등록된 화장품 브랜드 개수만 2만개에 달하는 2019년 현재, 이처럼 눈에 띄는 제품을 찾기는 쉽지 않다. 경쟁이 치열해진 만큼 남들과 다른 이색적인 콘셉트와 기술력으로 소비자들 이목을 끄는 브랜드가 늘고 있다.메디힐은 최근 마스크팩 신제품 `바이오 캡슐인 마스크`를 선보였다. 프리미엄 오일 캡슐을 마스크팩에 담은 것으로, 3D 입체형 패키지에 시트를 롤링 방식으로 담아 차별화했다. 특히 방탄소년단과 컬래버레이션해 내놓은 한정판 제품은 출시 3시간 만에 초도 물량이 완판됐다.메디힐 관계자는 ""2개월 만에 제품 150만개가량이 판매됐다""며 ""동남아시아, 미주, 일본 시장에서 추가 발주가 이어지고 있다""고 전했다.AHC를 키워낸 카버코리아는 신규 브랜드 `클루시브`를 론칭했다. 일명 `코덕(화장품 덕후)`으로 불리는 20대 인플루언서, 크리에이터 등과 제품 기획·개발을 진행하고 판매도 아예 이들의 채널을 이용할 예정이다. 클루시브의 첫 제품은 샤워 중에도 이용할 수 있는 `인샤워 팩`으로, 뷰티 크리에이터 `고밤비`의 온라인 몰에서 판매 시작 2시간 만에 초도 물량이 완판됐다.성형외과와 협업해 만든 화장품 브랜드도 꾸준히 인기다. 엘앤피코스메틱이 성형외과 의사들과 함께 개발한 색조 메이크업 브랜드 `메이크힐`은 바르는 즉시 시술했을 때와 비슷한 효과를 낸다는 것을 내세운다. 현재 중국 티몰글로벌 중심으로 판매되고 있으며 하반기에는 중국 드럭스토어인 왓슨스에 입점할 예정이다.토니모리가 최근 론칭한 더마 브랜드 `닥터오킴스`도 성형외과 의사들과 함께 만든 브랜드다. 제이에스티나는 비타민 성분을 농축해 스틱 형태의 에센스로 만든 제품을 선보였다. 서울 강남구 청담동에서 연예인·웨딩 전문숍으로 유명한 `제니하우스`도 최근 화장품 브랜드를 론칭했다. 제니하우스 관계자는 ""8월 롯데백화점 팝업스토어를 진행하고 9월 롯데백화점 본점과 일산점에 공식 매장을 낼 예정""이라고 전했다. 탈모케어 전문 샴푸 브랜드인 `자올닥터스오더`는 두피 상태를 즉각적으로 확인할 수 있는 두피 현미경 제품을 출시했다. 친환경 뷰티 브랜드 `톤28`은 맞춤형 스킨케어 제품을 매달 28일에 주문제작 형식으로 배송한다. 하지만 단순히 이색 제품만으로는 오래갈 수 없다는 지적이 나온다. 뷰티업계 관계자는 ""장기적 관점에서 제품과 브랜드를 개발해야 할 것""이라고 전했다. [김하경 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        					"
