회사,날짜,시간,카테고리,제목,본문
퍼스텍,2019.09.23,1924,전체,"한미 정상, 해법찾나…다시 들뜬 남북경협株","[이데일리 김정훈 기자][이데일리 김대웅 기자] 지난 2월 이른바 ‘하노이 노딜’ 이후 된서리를 맞았던 남북경협주(株)들이 다시 기지개를 켜고 있다. 북미 실무협상 재개가 임박한 가운데 한미 정상회담이 열리게 되면서 북한 비핵화에 대한 새로운 해법이 나올지에 대한 관심이 고조되고 있다. 개성공단 재가동과 금강산관광 재개가 이뤄져야 한다는 목소리도 곳곳에서 나오면서 남북경협에 대한 기대감이 재차 높아지고 있다.23일 마켓포인트에 따르면 철도, 가스관, 도로, 자원개발 등 남북경협 관련주들의 주가는 이날 일제히 상승했다.가스관 관련주인 하이스틸(071090)은 16.7% 급등했고 부산산업(011390) 화성밸브(039610) 퍼스텍(010820)도 10% 넘게 올랐다. 코아스(071950) 대동스틸(048470) 좋은사람들(033340) 동양물산(002900) 등도 5~7%대 상승세로 마쳤다. 금강산 관광 관련주인 아난티(025980)와 현대엘리베이(017800)터도 1% 안팎의 상승률을 기록하며 나란히 나흘째 강세를 이어갔다.최근 한반도를 둘러싼 지정학적 변화가 감지되면서 남북경협에 대한 기대가 관련기업들의 주가 상승으로 이어지고 있다. 북한은 최근 잇달아 발사체를 쏘아올리고 있지만 미국을 직접 자극하는 핵실험이나 대륙간탄도미사일(ICBM) 발사는 피하는 모습이다. 이런 가운데 북미 실무협상 등 북미 대화 재개를 위한 긍정적 분위기가 조성되고 있고 이에 앞서 문재인 대통령은 우리시간으로 24일 오전 미국 도널드 트럼프 대통령과 정상회담을 가진다.윤창용 신한금융투자 연구원은 “2월 말 미국과 북한의 2차 정상회담에서 협상 결렬로 얼어붙었던 북한 문제가 실무진 간 대화의 물꼬가 다시 트이며 조금씩 실마리를 찾고 있다”며 “문재인 대통령이 22일부터 26일까지 미국을 방문해 트럼프 대통령과 정상회담을 갖는 등 정상들의 중재자 역할이 기대된다”고 밝혔다.미국이 대북 강경파인 존 볼턴 전(前) 백악관 국가안보보좌관을 경질한 뒤 곧바로 대화 재개를 위한 해빙 무드가 조성되고 있고, 북한 제재 완화를 포함한 모든 가능성을 열어둔 것으로 알려지면서 이제 남북 경협도 빛을 보지 않겠느냐는 기대다. 강경화 외교부 장관은 북미 간 비핵화 협상과 관련해 “북한이 얘기하고 있는 안전보장 문제나 제재해제 문제 등 모든 것에 열린 자세로 협상에 임한다는 것이 미국 측의 기본 입장”이라고 말했다.실제로 국내 곳곳에서는 금강산 관광 재개와 개성공단 재가동부터 추진해야 한다는 목소리가 높아지고 있다. 이해찬 더불어민주당 대표는 지난 20일 국회에서 “개성공단을 재개해 남북공단이 아닌 세계적 국제공단으로 만들어야 한다”고 강조했고, 김홍걸 민족화해협력범국민협의회 대표상임의장은 23일 성명서를 내고 이번 한미정상회담에서 개성공단과 금강산 관광에 관한 논의가 있어야 한다며 트럼프 대통령의 결단을 촉구했다.문 대통령이 한미정상회담에서 일부 대북제재 완화와 금강산관광 및 개성공단 재개 등을 요구할 것으로 전망된다는 보도도 나오고 있다. 한 지상파 방송사는 문 대통령이 다음주 유엔 총회에 참석해 한반도 평화 프로세스에 대한 기조연설을 하는 자리에서 남북이 공동으로 ‘비무장지대(DMZ) 지뢰 제거’에 나서자고 제안하는 방안이 유력하게 검토되고 있다고 전하기도 했다.이같은 분위기 변화에 경협주를 둘러싼 증권가의 관심도 한층 고조된 모습이다. 남북경협을 테마로 한 지수를 구성한 증권사도 나오고 있다. 금융투자업계 관계자는 “북한 비핵화와 남북경협을 둘러싼 일련의 흐름이 긍정적으로 흘러가고 있는 것으로 보인다”면서도 “최근 경협주들의 반등 폭이 작지 않은 만큼 투자에 신중을 기할 필요가 있다”고 말했다."
퍼스텍,2017.11.20 ,"1758
","

증권/금융

","코스피·코스닥 테마주 3인방, 희비 교차"," 	최근 조류독감 확진판정에 방역주↑ 가금류 유통주↓수리온 납품재개소식 타고 방산테마주 상승반전삼성바이오로직스, 자회사 복제약 유럽 허가소식에 강세 	코스피와 코스닥 시장에서 테마주 3인방의 주가에 희비가 엇갈렸다. 조류독감 확진판정으로 관련주들의 주가가 출렁인 데 반해 삼성바이오로직스는 자회사 이슈로 급등세를 보였다. 한동안 부진했던 방위산업주들은 국산 헬기 '수리온'의 납품 재개 소식에 상승세로 반전했다.20일 한국거래소에 따르면 고병원성 조류인플루엔자(AI)가 전날 전북 고창에서 발생하면서 방역테마주가 급등한 반면, 가금류 유통업체들은 약세를 보였다. AI테마주는 매년 한두차례씩 발생해 그때 마다 주식시장에서 관련주들의 주가를 출렁였다. 이날 방역 관련주인 파루(3.82%), 중앙백신(4.08%), 대한뉴팜(1.33%), 제일바이오(0.73%), 엠지메드(4.68%) 등은 모두 상승마감했다.파루는 방역 관련주이며, 중앙백신은 동물용 백신 제조.판매사다. 제일바이오는 동물관련 약품을 생산하는 것으로 알려졌다.반면 닭고기 생산 유통사들은 직격탄을 맞았다. 마니커(-1.20%) 하림(-3.29%)등은 장초반 부터 약세로 거래를 시작해 모두 하락 마감했다.질병 발생시 등장하는 테마주들은 주가가 급등락 하며 투자자들의 눈길을 끌지만 곧 제자리로 돌아온다는 게 특징이다. 지난 2월에는 구제역 테마주로 급등했던 종목들이 하루만에 하락세로 돌아선바 있다. 당시 구제역의 반사이익을 얻을 것으로 기대됐던 사조오양, 사조대림, 신라에스지, 사조산업등은 9% 가까이 급등한후 하루만에 10% 넘게 추락하기도 했다.지난 2015년 중동호흡기질환(메르스) 사태로 인해 주가가 급등 했던 일부 상장사의 경우, 대주주가 고점에서 지분을 전량 매도하고 나가면서 개인투자자들이 피해만 입은 사례도 있다.방산테마주도 이날 주가가 상승했다. 방위사업추진위원회가 '철매-Ⅱ' 성능개량 양산사업'을 추진하기로 결정함에 따라 LIG넥스원(4.50%)이 올랐다. 또 한국항공우주(1.91%)는 수리온 납품재개 소식에 전일 하락세에서 상승반전에 성공했다. 이날 휴니드(4.09%), 퍼스텍(1.17%), 빅텍(1.53%), 스페코(1.14%) 등 방산관련주 대부분이 상승마감했다.삼성바이오로직스(-0.25%)는 오전과 오후의 희비가 엇갈렸다. 자회사인 삼성바이오에피스가 항암 바이오시밀러 유럽 판매 허가를 획득했다는 소식에 오전에 강세를 보였지만, 오후들어 매도물량이 나오면서 하락마감했다.증권업계 관계자는 ""조류독감이나 바이오 관련 테마주들은 일시적으로 개인투자자들의 매수가 몰려들면서 주가가 급등하는 경우가 많다""며 ""차익실현매물이 예상보다 빨리 쏟아질 경우 매도 시점을 놓쳐 손실을 입을 가능성이 높다""고 지적했다."
퍼스텍,2017.08.29 ,"1802
","

증권/금융

",北도발에 들썩이는 방산주," 	방산주 대부분 상승 마감이슈때마다 주가 출렁이지만 급등후 단기간 하락 위험중장기적 투자수익 힘들어북한 미사일 발사와 방산주와의 상관관계는 어떨까. 통상적으로 북한 미사일이 발사되면 방산주들은 크게 오른다. 주식시장이 약세를 보이는 가운데서도 방산주들은 대부분 상승마감했다.하지만 전체 수익률을 놓고 볼때는 다소 초라하다. 연초 이후 북한 미사일 위협이 터질때 마다 방산주들의 주가가 출렁거렸지만, 막상 전체 수익률은 높지 않았다. 관련종목들은 주가 급등한 후 다시 급락하면서 사실상 제자리 걸음을 반복하고 있어서다.29일 주식시장에서는 개장초부터 방산 관련주들이 동반 강세를 보였다. 장중 상승폭이 줄어들기는 했지만 대부분 상승세로 거래를 마쳤다.빅텍은 전일대비 7.31% 오른 4110원, 스페코는 2.41% 상승한 4665원에 거래를 마쳤다. 솔트웍스(1.44%), 퍼스텍(0.57%), 풍산(1.83%), LIG넥스원(1.27%)등도 오름세로 거래를 마감했다. 한화테크윈은 0.77% 내린 3만8900원, 휴니드는 0.95% 하락해 1만450원을 기록했다.북한은 지난 2월12일 동해상에 북극성-2 미사일 1기를 발사하면서 올해 첫 미사일 위협을 개시했다. 지난 28일까지 총 15번에 걸쳐 미사일을 발사하며, 미국과 일본의 신경을 자극했다. 이 때마다 주식시장에서는 방산주들의 주가가 춤을 췄다.문제는 급등 후에는 단시간내에 하락해 제자리로 돌아온다는 점이다. 개미들이 한발 늦게 추격 매수 할 경우 손실을 떠 앉을 위험이 크다는 것이다.빅텍은 지난 3월22일 북한이 미사일을 쏘자, 23일 부터 상승세를 펼치기 시작해 3월30일에는 하루만에 10% 가까이 올랐다. 주가는 4000원을 돌파했다. 4월10일에는 상한가를 기록하며 5260원까치 치솟았다. 그러나 곧바로 약세로 돌아선 주가는 5월들어 3000원대로 내려 앉았다.스페코도 지난 3월22일 이후 6거래일 연속 상승하며 강세를 보였다. 4월10일에는 25.84%나 상승하며 6000원대를 찍었다. 그 뒤로 대부분 약세로 돌아서면서 5월에는 다시 5000원대가 됐다.솔트웍스도 지난 3월30일 12% 넘게 급등하고 4월4일에는 30%까지 오르는등 주가가 춤을 췄다. 2월까지 3000원대이던 주가가 4월10일에는 6340원을 찍었지만, 지금은 고스란히 상승분을 반납한채 제자리로 돌아왔다.방산주들은 미사일 이슈가 터질때 마다 몇 일씩 상승세를 펼치고, 가격제한폭을 넘나드는 변동성을 보였지만 수익률은 대부분 크게 높지 않았다.증권업계 관계자는 ""미사일 이슈때 마다 들썩이는 방산주들 중에는 국내 증권업계의 커버리지(분석 대상)에 포함되지 않은 종목들이 많다""며 ""이런 종목들은 반짝 상승세로 끝나는 경우가 대부분이기 때문에 중장기적인 투자수익을 담보하기는 사실상 어렵다""고 지적했다."
퍼스텍,2017.08.09,1755,경제,[뉴스&분석] 北·美 충돌…금융시장 덮친 8월 위기설,"◆ 北리스크에 금융시장 휘청 ◆미국과 북한의 대립 수위가 갈수록 높아지면서 국내 금융시장도 충격을 받고 있다. 이른바 `8월 위기설`이 그동안의 괴담 수준을 넘어 시장에 영향을 끼치기 시작한 셈이다.특히 외국인 투자자들은 올 상반기에만 10조원을 순매수하며 국내 주식시장 상승을 이끌었지만 지정학적 위험이 고조되자 지난달 중순 이후 2조원 넘게 팔아치웠다. 코스피는 최근 보름 새 3% 넘게 하락했다. 국가 부도위험을 나타내는 신용부도스왑(CDS) 프리미엄은 연중 최고 수준으로 뛰어오르며 금융시장 불안을 부추기고 있다.  9일 한국거래소에 따르면 코스피는 전일 대비 26.34포인트(1.10%) 하락한 2368.39로 거래를 마감했다. 코스피가 2370선 밑으로 내려간 건 지난 6월 21일(2357.53) 이후 정확히 49일 만이다. 외국인은 이날 주식 현물 2560억원, 선물 4000억원을 동시에 팔아치우면서 지수 하락을 이끌었다. 코스닥도 외국인이 490억원을 팔아치운 가운데 전일 대비 8.80포인트(1.35%) 하락한 642.87로 종료했다.이날 주식시장 하락은 북한 핵 및 대륙간탄도미사일(ICBM)을 둘러싸고 미국과 북한의 갈등이 고조된 데 따른 것이다. 삼성전자(-3.0%) SK하이닉스(-3.2%) 삼성물산(-2.9%) 등 시가총액 상위 종목 상당수가 2% 이상 하락했다. 반면 빅텍(19.5%) 스페코(12.8%) 퍼스텍(3.0%) 등 방위산업 관련주는 급등세를 나타냈다. 서상영 키움증권 연구원은 ""코스피가 1.7% 폭락한 지난 3일의 경우 전날 발표된 세법개정안 영향이 더 컸지만 이날 하락은 북한 리스크의 영향이 직접적""이라고 분석했다.외환시장 역시 북한 리스크에 크게 반응하며 달러당 원화값은 10원 넘게 하락했다. 이날 서울외환시장에서 달러당 원화값은 1135.2로 전날 종가(1125.1원)보다 10.1원 내렸다. 달러당 원화값은 장중 한때 1137.3원까지 떨어졌는데 이는 지난달 14일 기록한 장중 저점 1138.7원 이후 한 달 만에 최저치다.채권시장도 단기물 중심으로 약세를 보였다. 이날 채권시장에서 3년 만기 국고채 금리는 전날보다 0.022%포인트 상승(채권값 하락)한 1.835%를 기록했다. 5년물 외국환평형기금채권의 부도 위험을 나타내는 CDS 프리미엄은 지난달 평균 58bp를 기록하며 월별 기준으로 올 들어 가장 높았다.[최재원 기자 / 김규식 기자 / 전경운 기자 / 김종훈 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        					"
퍼스텍,2017.07.04 ,"1830
","

증권/금융

","'北 도발' 방산주 들썩, 남북경협주는 화들짝","빅텍(065450) 지정학적 리스크가 부각되며 방산주들이 상승했다. 반면 코스피와 코스닥 지수는 조정을 받으며 하락했다.4일 방산주로 분류되는 빅텍은 전날 보다 15.97% 상승한 4140원에 거래를 마쳤다. 스페코와 퍼스텍 등도 3~5% 상승세로 마쳤으며 HRS와 한일단조 등도 소폭의 오름세로 마쳤다.이날 오전 9시40분경 북한이 동해상으로 탄도미사일을 발사했다는 소식이 전해지며 방산주는 오전장 부터 상승흐름을 탔다. 북한은 평안북도 방현 일대에서 동해상으로 탄도미사일을 발사해 40여 분간 930여km를 날려 보냈다.이 소식으로 3~5%를 오름세를 보이던 방산주는 오후 2시경 북한이 특별 중대보도를 할 것이라는 소식이 전해지면 다시 급등세를 연출했다. 당시까지만 해도 발표 내용에 구체적인 사항이 알려지지 않았다. 주식시장에서는 미국의 독립기념일인 4일 북한의 도발에 미국이 반응할 것이라는 흉흉한 소문이 돌면서 방산주는 급등했다. 불안심리가 다소 가중됐던 것.이어진 오후3시30분(평양시간 오후3시) 조선중앙방송은 새로 개발한 대륙간탄도로케트(대륙간탄도미사일.ICBM)인 '화성 14형'의 시험발사에 성공했다며, 전날(3일) 김정은 노동당 위원장이 친필 명령했다고 밝혔다.방산주 급등 속에 남북 경협주는 줄줄이 하락했다. 좋은사람들 2.41%, 재영솔루텍 3.23%, 이화전기 1.00%, 인디에프 3.49%, 광명전기 1.74% 등 종목이 일제히 떨어졌다.코스피 지수는 전거래일 보다 0.58%(13.96포인트) 떨어진 2380.52로, 코스닥 지수도 4.78포인트 하락한 656.19로 마감됐다.지정학적 리스크에 외국인은 유가증권시장에서 2000억여원 가까이 주식을 매도 했다.kjw@fnnews.com 강재웅 기자"
퍼스텍,2017.04.10,1635,전체,27일 북한 폭격?…가짜뉴스에 금융시장 '트리플 약세',"한미 독수리연습(FE)에 참가하기 위해 지난 달 부산항에 입항한 칼빈슨호 모습. 미 핵추진 항공모함인 칼빈슨호는 5000여명의 병력과F/A-18 슈퍼호넷, S-3A 대잠수함기, SH-3H 대잠수함작전헬기, E-2 공중조기경보기 등 70대 이상의 항공기를 탑재하고 있다. 사진=연합뉴스[이데일리 김정남 경계영 기자] 미국의 핵추진 항공모함 전단인 칼빈슨호가 한반도 인근 해역으로 전격 이동하는가 하면 주요 미군 전력들이 한반도 주변으로 집결하고 있다. 대량살상무기(WMD)를 사용한 시리아 정권을 응징하기 위해 폭격을 가한 미국이 북한에 대해서도 군사행동에 나설 수 있다는 경고로 해석된다. 미국이 중국에 북한 문제 해결에 나서지 않을 경우 ‘독자적 방도’에 나서겠다고 으름장을 놓고 있다. 북한이 6차 핵 실험을 강행할 경우 미국이 응징에 나설 수 있다는 관측도 나온다. 특히 4월27일 북한 폭격설, 주한 외국인 소개설 등 근거없는 루머가 확산되고 있다. 이처럼 한반도를 둘러싼 지정학적 위험이 불거지면서 국내 금융시장에서 주식·원화·채권의 가격이 동반 하락하는 ‘트리플 약세’가 나타났다.10일 마켓포인트에 따르면 이날 코스피지수는 전 거래일 대비 18.41포인트(0.86%) 하락한 2133.32에 마감했다. 지난달 15일(2133.0) 이후 처음 2030선까지 빠진 것이다. 장중에는 2120선까지 하락하며 1% 이상 급락하기도 했다. 반대로 퍼스텍(010820)과 휴니드(005870) 등 방산주는 각각 12.70%, 2.33% 상승했다. 이는 미국의 잇단 대북 강경책 후폭풍이다. 렉스 틸러슨 미국 국무장관은 독자적인 대북정책을 암시했고, 실제 미국은 항공모함 칼 빈슨함을 한반도 인근으로 재배치했다. 게다가 북한도 이번달 굵직한 기념일을 앞두고 있어 군사 도발 가능성을 아예 배제할 수 없다. 지정학적 위험은 서울외환시장도 덮쳤다. 원·달러 환율은 전 거래일 대비 7.70원(0.68%) 오른 1142.20원에 거래를 마쳤다. 이는 달러화 대비 원화 값이 떨어졌다는 의미다. 원·달러 환율이 종가 기준 1140원을 웃돈 것은 지난달 15일 이후 18거래일 만이다. A 시중은행 외환딜러는 “북한 관련 지정학적 위험이 커지다보니 역외에서 달러화 매수세가 강했다”고 전했다.채권가격도 하락(채권금리 상승)했다. 서울채권시장에서 국고채 3년물 금리는 4.1bp(1bp=0.01%포인트) 상승한 1.722%에 마감했다. 이 역시 지난달 15일(1.759%) 이후 가장 높은 수치다. 국제금융시장 전반에서는 이런 위험이 안전자산인 채권의 매수를 부추기고 있지만, 국내 원화채권에 대한 투자심리는 얼어붙고 있다는 얘기다.박상현 하이투자증권 이코노미스트는 “미·중 정상회담에서 북한 이슈에 대해서는 양국이 원칙론에만 합의했다”면서 “지정학적 위험이 해소되려면 당분간 시간이 필요할 것으로 보인다”고 말했다."
퍼스텍,2016.11.17,1816,전체,[여의도 stock] 지지율 뜨니 이재명 테마주 떴다,					증시에서 ‘이재명 테마주’가 급등했다. 이재명 성남시장이 대선주자 지지율 조사에서 3위로 올라섰다는 일부 여론조사 결과가 발표된 영향이다. 17일 코스닥시장에서 이 시장의 고향인 경북 안동에 본사를 둔 동신건설이 상한가로 마감했다. 대표이사가 이 시장과 중앙대 동문으로 알려진 토탈소프트도 가격제한폭까지 올랐다. 한국거래소는 두 종목에 조회공시를 요구했다. 과거 이 시장이 오리엔트시계에 재직했다는 이유로 계열회사인 오리엔트정공 주가는 5.24% 올랐다. 대표이사가 ‘성남창조경영 최고경영자(CEO)포럼’ 소속으로 알려진 티엘아이 주가는 12.50% 급등했다. 이 시장의 영향력은 교복 업체 주가도 움직였다. 이 시장이 무상 교복 지원사업을 확대한다는 소식에 형지엘리트 주가가 5.95% 올랐다. 고등훈련기 T-50A가 미국 현지 시험비행을 앞두고 있다는 소식에 관련주들도 상승세를 탔다. 록히드마틴과 T-50A를 공동 개발 중인 한국항공우주 주가는 6.15% 올라 6만9000원을 기록했다. 한국항공우주는 록히드마틴과 손잡고 고등훈련기 T-50을 기반으로 개발한 T-50A를 내세워 미국 고등훈련기 교체(T-X) 사업 수주를 노리고 있다. 앞서 한국항공우주와 함께 일부 부품 개발에 참여했던 퍼스텍 주가도 4.99% 올랐다. 코스피지수는 0.90포인트 오른 1980.55가 됐다. 오전 중 약세를 보이다 오후 늦게 반등하며 약보합세로 장을 마쳤다. 개인과 외국인투자자가 각각 71억원과 605억원을 사들였지만 기관은 907억원을 팔았다. 코스닥지수는 0.07포인트 내려 627.76에 머물렀다. 원·달러 환율은 6.70원 올라 달러당 1175.90원이 됐다.조효석 기자 promene@kmib.co.kr
퍼스텍,2016.11.11 ,"1748
","

증권/금융

",트럼프 정책 불확실성에… 수혜주.피해주 '알쏭달쏭'," 	■ 방산株 아시아지역 국방비 확대 한국산 무기 수입 늘 것 VS. 방위비 예산 한정… 분담비 부담에 지출 줄일 듯'트럼프 수혜주'로 꼽히는 방위주가 급등락을 반복하며 투자자들을 헷갈리게 만들고 있다.증권가에서는 도널드 트럼프 당선의 1차 수혜주로 꼽히던 방산주가 사실은 부정적인 영향을 더 많이 받을 것이라는 분석이 나오고 있다.11일 주식시장에서 방산주의 '맏형' 격인 한화테크윈은 전날보다 1.96% 오른 5만1900원에 거래를 마쳤다.반면, LIG넥스원(-4.90%)과 빅텍(-9.82%), 스페코(-7.50%), 한국항공우주(-2.25%), 퍼스텍(-7.30%) 등은 모두 큰 폭의 하락세를 보였다. 미국 대선 이후 강세를 보이던 주가가 수그러드는 모습이다.당초 증시에서는 트럼프 수혜주 찾기에는 관심이 없었다. 힐러리 클린턴의 당선을 예상한 때문이다.그나마 트럼프 수혜주로 꼽한 것이 방산주였다. 한반도에서 미군의 활동이 약화될 수 있다는 이유였다. 또 미국이 국제분쟁에 개입을 줄이면 아시아 각 지역에서 방위력 증강을 위해 한국산 무기 수입을 늘릴수 있다는 분석도 제기됐다.황어연 신한금융투자 연구원은 ""트럼프의 공약대로 아시아 주둔 미군 축소가 현실화된다면 아시아 국가의 국방비 확대가 예상된다""며 ""이 경우 서구권 무기 대비 가성비가 좋고, 정치적 이해관계가 적은 한국 제품의 수혜가 기대된다""고 분석했다. 골든브릿지증권은 K9 자주포를 중심으로 수출 가능한 다양한 방산 포트폴리오 보유한 한화테크윈 등을 대표적인 수혜주로 꼽기도 했다.그러나 다른 한편으로는 한정된 방위비 예산에서 주한미군의 주둔비 부담이 늘어날 경우 방산업체들에 대한 지출이 축소되고, 이는 장기적으로 실적에 부정적인 영향을 미칠 것이라는 분서도 있다.이지훈 SK증권 연구원은 ""현재 국내 방산업체의 주가가 힘을 받고 있지만 주둔 비용의 증가, 분담비율의 상승은 국방비중에서 국내 방산업체에게 돌아가는 방위력 개선비의 감소로 이어질 수 있다""며 ""국방비 예산 증가에 한계가 있다는 점을 고려할때 방산주의 추가적인 상승여력이 얼마나 지속될지는 의문""이라고 진단했다.ahnman@fnnews.com 안승현 기자■ 자동차株 '멕시코 관세' GM.크라이슬러 더 큰 타격 VS. 높아지는 보호무역 장벽 피해가기 힘들어현대차가 도널드 트럼프의 당선에 따른 피해주가 아니라 수혜주라는 분석이다. 트럼프 당선인의 공약이 집행될 경우 오히려 제너럴모터스(GM, 크라이슬러 등 미국 자동차업체들이 피해를 입을 것이라는 지적이다.11일 유가증권시장에서 현대차는 전날보다 1.94% 오른 13만1500원에 거래를 마쳤다. 전날 트럼프 피해주로 지목되면서 외국인과 기관의 매도세에 하루 만에 -3.73% 급락한 것과 대조적인 모습이다.트럼프의 자동차업계 관련 주요 공약은 △한.미 자유무역협정(FTA) 재협상으로 관세 2.5% 재부과 △멕시코 수출차량 관세 35% 부과 △미국 내 법인세 20% 감면이다.이를 현대차에 적용하면 지난해 실적 기준으로 1억5000만달러 손실이 추정된다. GM(9억2000만달러)이나 크라이슬러(12억달러)에 비해 훨씬 낮은 수준이다. 미국에서 판매되는 현대차의 경우 미국공장 생산비중이 65%로 높기 때문이다.GM이나 크라이슬러도 미국공장 생산비중이 69.5%, 79.4%에 달하지만 멕시코로부터의 수입비중도 높아 각각 30억달러에 가까운 폭탄 관세를 물게 된다. 현대차는 멕시코에 공장이 없다.한미 자유무역협정(FTA) 재협상은 최소 2~3년이 소요될 전망이어서 당장 피해를 입는 것은 아니라는 분석이다. 여기에 트럼프가 전기차와 자율주행차의 육성을 포기할 경우 국내 완성차업계에 시간을 벌 수 있는 기회가 주어질 것이라는 분석이다.임은영 삼성증권 연구원은 ""트럼프 당선에 따라 자율주행차 육성정책 포기에 대한 우려로 테슬라는 주가가 2.5%가량 빠졌다""며 ""만약 육성책을 포기한다면 전기차나 자율주행차 준비가 늦은 것으로 평가되는 현대차나 기아차에는 시간을 벌 수 있다는 점에서 긍정적""이라고 말했다.글로벌 완성차업체들은 자율주행차 시장에서 현대.기아차보다 5~10년 앞서 있다. 토요타는 오는 2020년 각각 고속도로용 자율주행차를 내놓을 계획이지만 현대.기아차의 자율주행차는 2030년이나 돼야 양산될 것으로 전망된다.gogosing@fnnews.com 박소현 기자"
퍼스텍,2016.11.09,1820,전체,[여의도 stock] ‘트럼프 이변’에 방산주 급등,"					미국 대선 결과 도널드 트럼프 공화당 후보가 당선되면서 방산주가 급등한 반면 ‘클린턴 수혜주’로 분류된 에너지 관련주가 줄줄이 급락했다. 9일 코스닥시장에서 방산주인 빅텍은 전날보다 885원(29.90%) 오른 3845원으로 장을 마감하며 상한가를 기록했다. 스페코(29.88%)와 퍼스텍(29.87%)도 상한가로 장을 마쳤다. 트럼프 당선인이 한국을 비롯한 해외 주둔 미군 철수, 동맹국들의 방위비 분담금 증액 등을 주장하면서 한반도 안보 리스크가 부각될 것이란 전망 때문이다. 경제 전반의 불확실성이 커지면서 안전자산인 금 관련주도 상승했다. 금·구리 등 자원개발 사업을 하는 엘컴텍은 640원(29.84%) 오른 2785원으로 상한가를 기록하며 장을 마감했다. 반면 힐러리 클린턴 민주당 후보가 주요 공약으로 내세웠던 신재생에너지, 인프라 투자 등과 관련된 종목들은 하락했다. 모회사인 세아상역 김웅기 회장이 클린턴 후보와 인연이 있다고 알려진 인디에프는 하한가를 기록했다. 태양광 관련주인 OCI(-15.96%)와 한화케미칼(-12.14%)이 급락했고, 풍력발전 기업인 동국S&C도 25.64% 떨어졌다. 투자심리가 악화되면서 시가총액 상위주도 부진했다. 코스피 대장주인 삼성전자는 2.92% 하락한 159만6000원을 기록했다. 코스피 시총 상위 20개 중 상승한 종목은 아모레퍼시픽(1.12%)과 KT&G(0.45%), 삼성화재(0.53%)뿐이었다. 코스닥에서도 시총 1위인 셀트리온(-5.47%)과 2위 카카오(-4.04%)의 낙폭이 컸다.백상진 기자 sharky@kmib.co.kr"
퍼스텍,2016.07.08,1854,전체,[여의도 stock] 사드 여파… 방산주 ↑ 中 소비 종목 ↓,"					주한미군에 사드(THAAD)가 배치된다는 소식에 중국 소비와 관련된 종목 주가가 급락한 반면 방위산업 관련주는 급등했다. 한국을 찾는 중국인 관광객(유커) 상대 매출과 중국 수출 비중이 큰 화장품, 면세점, 카지노 업종 등이 중국 소비 관련주로 분류된다. 사드 배치로 한·중 관계가 악화되면 이들 업종의 타격이 우려된다. 이 때문에 8일 아모레퍼시픽 주가가 4.42% 하락했고, 코스맥스(-5.54%) 한국콜마(-5.19%) 에이블씨엔씨(-4.90%) LG생활건강(-4.49%) 토니모리(-2.49%) 한국화장품(-2.43%) 등도 일제히 내렸다. 카지노주인 GKL(-6.17%)과 파라다이스(-5.14%)도 급락했고, 하나투어(-3.50%) 모두투어(-1.05%) 한화갤러리아타임월드(-0.79%) 호텔신라(-0.75%) 등 여행·면세점주도 약세를 나타냈다. 반면 방위산업 관련주는 사드 배치 결정에 환호했다. 빅텍 주가가 25.19% 폭등했고, 쌍용정보통신(13.59%) 스페코(11.11%) 휴니드(4.69%) 비츠로시스(4.17%) 퍼스텍(3.43%) 한국항공우주(2.57%) LIG넥스원(1.27%) 한화테크윈(0.38%) 등도 줄줄이 올랐다. LG디스플레이는 2분기 실적 호조 기대감에 3.78% 상승했고, 전날 깜짝 실적을 발표한 삼성전자도 0.69% 올랐다. 코스피지수는 기관투자가의 매도 공세에 10.98포인트(0.56%) 내린 1963.10으로 장을 마쳤다. 코스닥지수는 3.35포인트(0.48%) 떨어진 692.60으로 마감했다. 원·달러 환율 종가는 1161.8원으로 7.2원 올랐다. [경제뉴스] ☞ 네이버, 협력사 번역 서비스 베끼기 ‘甲질’☞ 柳부총리“외환보유액 안정적으로 관리”… 브렉시트 여파 예단 어려워☞ 방통위, 조사 거부 LGU+에 총 2250만원 과태료☞ [여의도 stock] 사드 여파… 방산주 ↑ 中 소비 종목 ↓천지우 기자 mogul@kmib.co.kr"
