회사,날짜,시간,카테고리,제목,본문
휴스틸,2019.06.21,1750,증권,`붉은 수돗물` 사태 강관株↑…세아제강 하루새 11% 급등,"인천시 `붉은 수돗물` 사태가 강관주 주가 상승으로 이어졌다. 정부가 노후 시설 정비대책을 내놓으며 향후 강관 수요가 늘어날 수 있다는 기대감이 반영된 결과다. 21일 세아제강 주가는 전 거래일 대비 11.03% 오른 7만6500원으로 거래를 마쳤다. 세아제강은 국내에서 손꼽히는 강관 생산능력을 갖춘 회사다. 세아제강지주도 덩달아 2.12% 오른 5만7800원으로 마감했다. 또 다른 강관 생산업체인 휴스틸 주가는 이날 3.25% 오른 1만2700원을 기록했다.그동안 강관기업의 주가 흐름은 좋지 못했다. 미국의 수출물량 제한 조치로 인해 수출에 한계가 생긴 데다 강관 주 수요처인 건설산업이 부진하며 강관기업 실적 개선 여부에 대한 부정적인 평가가 우세했다. 그러나 이번 인천시 붉은 수돗물 사태로 분위기가 바뀌었다. 정부가 나서 노후 기반시설을 보강해야 한다는 목소리가 커졌다.  [정희영 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        					"
휴스틸,2019.01.21,0308,산업,"美법원 ""한국산 철강에 고율 반덤핑관세는 부당""","미국 상무부가 한국산 철강에 고율 반덤핑관세를 부과할 때 사용하는 조사기법인 '특별시장상황'(Particular Market Situation)에 대해 미국 국제무역법원(CIT)이 처음으로 제동을 걸었다. PMS는 수출국의 특별한 시장 상황을 고려해 상무부가 재량으로 관세를 결정하는 기법이다. CIT 판정이 확정되면 한국 철강 업체는 많게는 수백억원대의 관세 환급을 받을 수 있다.20일 철강업계에 따르면, CIT는 최근 한국 철강 업체 넥스틸, 현대제철, 휴스틸, 아주베스틸, 세아제강, 일진 등이 상무부의 한국산 유정용 강관에 대한 반덤핑 1차 연례재심 최종 판정이 부당하다며 제기한 소송에서 ""PMS 판정을 되돌려 관세를 재산정하라""고 명령했다.미 상무부는 2016년 10월 한국산 유정용 강관에 대한 1차 연례재심 예비 판정에서 넥스틸 8.04%, 세아제강 3.80%, 기타 5.92%의 반덤핑관세를 부과했다. 6개월 뒤, 2017년 4월 최종 판정에서는 PMS를 근거로 넥스틸 24.92%, 기타 13.84%로 대부분 업체의 관세율을 높였다. CIT는 예비 판정에서 PMS가 없다고 판정한 상무부가 어떻게 같은 자료를 갖고 최종 판정에서 전혀 다른 결과를 도출했는지 충분히 설명하지 못했다고 지적했다.박효정 넥스틸 대표는 ""이번 판정은 2016년 1차 반덤핑관세에 국한된 것이지만, 국내 업체에 대한 미국 행정부의 PMS 적용에 제동을 걸었다는 의미가 있다""며 ""정부도 적극적으로 외교·통상 공세를 펼쳐 비슷한 관세 피해가 이어지지 않도록 해야 한다""고 말했다."
휴스틸,2019.01.20,1747,경제,"美법원 ""한국산 철강관세 부당…재산정하라""","미국 상무부가 한국 철강업체들에 매긴 높은 관세율은 부당하므로 관세율을 재산정하라는 미국 국제무역법원의 결정이 나왔다. 국내 철강업체들이 미국의 고율 관세 압박에서 벗어날 수 있을지 주목된다. 지난 14일 미국 국제무역법원(CIT)은 홈페이지에 한국 철강업체인 넥스틸, 현대제철, 휴스틸, 아주베스틸, 세아제강, 일진 등이 상무부의 한국산 유정용 강관에 대한 반덤핑 1차 최종 판정이 부당하다며 미국 정부를 상대로 제기한 소송에 대한 판정문을 공개했다. 고율의 반덤핑 관세를 부과한 미국 상무부에 관세율을 재산정하라는 명령이다.당초 상무부가 한국산 철강에 고율 관세를 부과할 때 근거로 든 것은 `특별시장상황(PMS)`이었다. PMS는 수출국의 특별한 시장 상황 때문에 조사 대상 기업이 제출한 자료만으로 정상 가격을 산정할 수 없다고 보고 상무부 재량으로 관세율을 결정할 수 있게 하는 것이다. 당시 상무부는 한국 정부의 보조금 때문에 유정용 강관 원료인 열연코일 가격이 왜곡됐으며, 한국에 값싼 중국산 열연강판이 넘쳐나 열연코일 가격이 하락했다는 미국 업체들 주장을 받아들였다. 또 유정용 강관 생산 업체들과 전략적 제휴관계인 포스코와 현대제철이 이들 기업에만 열연코일을 유리한 가격에 공급했다고 주장했고 한국 정부가 낮은 산업용 전기요금 형태로 이들 기업을 보조했다고 봤다.실제로 상무부는 2016년 10월 한국산 유정용 강관에 대한 1차 연례재심 예비판정에서 넥스틸 8.04%, 세아제강 3.80%, 기타 5.92%로 반덤핑 관세를 부과했지만, 이후 PMS를 근거로 2017년 4월 최종 판정에선 넥스틸 24.92%, 세아제강 2.76%, 기타 13.84%로 대부분 업체에 대해 관세율을 높였다. 그러나 CIT는 1차 예비판정에서 PMS가 없다고 판정한 상무부가 어떻게 같은 자료를 갖고 최종 판정에서 전혀 다른 결과를 도출했는지 충분히 설명하지 못했다고 지적했다. 이에 대해 미국 정부는 소송에서 아무런 반론을 제기하지 않았다.정부와 업계에서는 환영하고 있다. 산업통상자원부 관계자는 ""CIT가 처음으로 PMS를 제한한 것은 긍정적""이라고 평가했다. [최희석 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        					"
휴스틸,2019.01.20,1425,전체,美 법원 “한국산 철강 관세 부당”…트럼프發 보호무역에 제동,"도널드 트럼프 미국 대통령(사진=뉴시스).[이데일리 김미경 기자] 미국 국제무역법원(CIT)이 미국 상무부가 한국산 철강에 고율 관세를 부과할 때 사용하는 반덤핑 조사기법인 ‘특별시장상황’(PMS: Particular Market Situation)에 대해 처음으로 제동을 걸었다. CIT는 미 상무부에 PMS 산정 방식이 부당하다며 이에 따라 반덤핑 관세율도 재산정할 것을 명령했다. 국내 철강업계는 도널드 트럼프 대통령발(發) ‘관세 폭탄’을 피하는 데 이번 판정이 도움될 것으로 기대하고 있다.CIT는 지난 14일 홈페이지에 한국 철강업체인 넥스틸, 현대제철, 휴스틸, 아주베스틸, 세아제강, 일진 등이 상무부의 한국산 유정용 강관에 대한 반덤핑 1차 연례재심 최종판정이 부당하다며 미국 정부를 상대로 제기한 소송의 판정문을 공개했다.앞서 상무부는 2016년 10월 한국산 유정용 강관에 대한 1차 연례재심 예비판정에서 넥스틸 8.04%, 세아제강 3.80%, 기타 5.92%의 반덤핑 관세를 부과했다. 이후 2017년 최종판정에서는 넥스틸 24.92%, 세아제강 2.76%, 기타 13.84%로 대부분 업체의 관세율을 높였다. 이때 상무부는 한국산 철강 관세율을 올린 근거로 PMS를 제시했는데, 이에 대해 CIT가 부당하다고 판정한 것이다.CIT 측은 “예비판정에서 PMS가 없다고 판정한 상무부가 어떻게 같은 자료를 갖고 최종판정에서 전혀 다른 결과를 도출했는지 충분히 설명하지 못했다”고 지적했다. 미국 정부도 소송에서 PMS와 관련해서는 아무런 반론을 제기하지 않았다. CIT는 상무부가 PMS 판정을 되돌리고 이에 따라 반덤핑 관세율도 재산정할 것을 명령했다. 이번 결정은 PMS 자체가 아닌 적용 방식에만 문제를 제기한 것이라 한계는 있지만 매우 의미 있는 판정이라는 게 정부와 업계의 판단이다. 상무부가 이를 이행하면 관세율도 낮아질 가능성이 크다.철강업계 관계자는 “CIT가 PMS 적용 방식에만 문제를 제기한 것은 한계가 있지만 처음으로 PMS를 제한한 것은 긍정적”이라며 “앞으로 상무부의 PMS 남용을 막고 한국 기업의 유사한 소송에도 유리하게 작용할 것으로 보인다”고 기대했다.한국무역협회에 따르면 유정용 강관은 미국이 2015년 PMS 규정을 재정비한 이후 처음으로 적용한 사례다. 상무부는 이후 2017년 12월 한국산 스탠더드 강관, 2018년 1월 한국산 송유관 반덤핑 연례재심 예비판정에서도 PMS를 적용한 바 있다."
휴스틸,2018.10.15,1712,전체,"[마켓인]바로투자證 사는 카카오, IB 부문만 인수 유예 왜?","[이데일리 박정수 기자] 카카오가 자회사 카카오페이를 통해 바로투자증권을 사들여 증권업 진출을 추진하고 있다. 다만 바로투자증권의 핵심인 투자은행(IB) 부문은 당분간 신안그룹이 주도하기로 해 배경에 관심이 쏠린다.◇“1년간 신안에서 바로투자증권 IB 부문 맡기로”15일 IB업계에 따르면 카카오페이가 바로투자증권 IB 부문 경영에 당분간 관여하지 않기로 했다고 전해진다. 현재 카카오페이는 바로투자증권 지분 60%를 인수하기로 결정, 금융위원회의 대주주 적격성 심사 등을 거치고 있다. 지난 2008년에 설립한 바로투자증권은 신안그룹 계열사인 신안캐피탈이 지분 100%를 가지고 있다.신안그룹 관계자는 “바로투자증권의 핵심은 IB”라며 “다만 카카오 측에서 증권업 리테일 부문을 원하고 있다. 신안과 카카오의 니즈를 고려해 카카오 측에서 바로투자증권 IB 인수에 대해 1년간 유예기간을 줬다”고 말했다. 실제 바로투자증권의 작년 573억원의 영업수익 가운데 수수료수익이 468억원에 달하고 순수수료 수익 중에서도 금융자문 수수료가 391억원 수준이다.IB업계 관계자는 “신안그룹 사업에서 바로투자증권이 기업금융을 도맡아 왔던 점을 고려하면 IB 수익 또한 신안 측에서 일부 가져가려 하는 것”이라며 “애초 신안그룹에서 바로투자증권을 사들인 이유도 IB 자문 수수료를 고려해서다. 카카오에서 신안캐피탈 지분을 모두 사들이지 않은 것도 이 때문”이라고 말했다. 종합부동산개발 기업인 신안그룹은 1960년 철강회사를 모태로 20여개 계열사를 거느리는 중견기업이다. 2000년에 조흥은행으로부터 현재의 신안저축은행을 인수해 금융업에 진출했고 2001년에는 강관업체 휴스틸을 인수하면서 급성장했다. 이렇듯 인수합병(M&A)을 통해 사세를 빠르게 넓혔던 만큼 저축은행과 캐피탈, 증권사 IB 등은 신안그룹 사업에 중추적인 역할을 해왔다. ◇카카오 “IB 주도권만 넘겼을 뿐…경영권은 인수”카카오 측에서는 IB 부문 인수 유예에 대해 부인하면서도 IB 사업 주도권은 바로투자증권에 맡기기로 했다고 전했다. 카카오페이 관계자는 “바로투자증권 인수 완료 후 경영권은 카카오페이가 갖게 된다”며 “바로투자증권은 카카오 자회사가 되는 구조”라고 설명했다. 하지만 카카오페이 측은 “IB 부문은 바로투자증권의 기존 인력이 뛰어난 전문성을 갖고 있기 때문에 체제 그대로 사업을 운용하도록 했다”며 “바로투자증권이 기업금융 부문에서 잘 해왔던 만큼 현 상태를 유지할 수 있도록 해준 것”이라고 말했다. 즉 바로투자증권 경영권은 가져오되 IB 부문 운영은 바로투자증권 현 경영진에 맡기겠다는 말이다. 카카오페이 관계자는 “바로투자증권과 새롭게 만들어나갈 영역은 리테일”이라며 “카카오와의 시너지도 리테일 쪽에서 도모할 계획”이라고 강조했다.한편 카카오는 이번 바로투자증권 인수를 통해 카카오페이 손익구조를 개선할 방침이다. 인수 절차가 마무리되면 카카오톡에서 주식 거래와 펀드 투자상품 구입이 가능해지도록 해 수익성 있는 모델을 구축할 계획이다."
휴스틸,2018.09.07,1727,경제,강관협의회 신임회장에 권병기 세아제강 대표," 한국철강협회 강관협의회가 7일 신임 회장에 권병기 세아제강 대표를 선임했다. 강관협의회는 이날 2018년도 총회 및 제2회 이사회를 열고 이같이 결정했다. 강관협의회 회장 임기는 2년이다. 권 대표는 최근 미국을 비롯해 유럽연합(EU)·캐나다·인도 등 세계적으로 수입규제가 확산하고 있는 상황에서 수출 지역 다변화와 내수 확대를 위한 제도 개선 등에 중점을 두겠다고 취임 각오를 밝혔다. 강관협의회는 강관산업의 발전과 대외 경쟁력 향상을 위해 2005년 3월 발족한 기구다. 현재 세아제강·현대제철·휴스틸 등 국내 17개 주요 강관업체를 회원사로 두고 있다. [우제윤 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        					"
휴스틸,2018.08.30,1940,전체,美수입쿼터 면제에 철강株 급등…대미 수출업체 빛 볼까,"그래픽=이데일리 이미나 기자[이데일리 박태진 기자] 미국이 한국산 철강재에 적용하고 있는 쿼터제(수입할당제)에 대해 예외품목을 신청할 수 있는 자격을 부여하면서 철강주(株)들이 급등했다. 철강업계에 간만에 희소식이 전해지면서 대부분 종목들의 주가는 올랐다. 일부 종목은 장중한 때 28%대까지 치솟았다. 대미 수출이 많은 업체들의 주가도 올랐지만 수출 비중이 가장 높은 세아제강(003030)은 기업분할에 따른 거래 정지로 빛을 보지 못했다. 다만 전문가들은 이번 조치가 쿼터제에 대한 완전한 면제가 아닌데다 예외품목도 명시하지 않아 추후 상황을 지켜봐야 한다고 조언했다.◇ 모처럼 급등했지만…관세부과 ‘발목’30일 마켓포인트에 따르면 포스코(005490) 계열사인 포스코강판(058430)은 전거래일대비 10.53% 오른 2만4150원에 거래를 마쳤다. 대한제강(084010)은 전일대비 2.10%오른 7300원에, 철강 대표주인 포스코는 같은 기간 0.30% 오른 33만2500원에 각각 거래를 끝냈다. 중소형주 중에서는 문배철강(008420)이 전일대비 20.73%나 오른 4280원에 거래를 끝내 이날 철강주들 중 상승폭이 가장 컸다. 이 회사는 장중 한때 28.35%까지 급등하며 상한가를 기록할 뻔 했다. 대동스틸(048470)도 12.68% 오르며 두 자릿수 상승률을 기록했다. 특히 미국의 이번 조치로 대미 수출이 많은 철강업체들의 실적회복이 나타날지 관심을 끈다. 세아제강은 미국에 강관을 주로 수출하는 업체다. 지난 5월 미국이 한국산 철강제품에 대해 25% 추가관세를 면제하는 대신 2015~2017년 대미 평균 수출량(383만톤)의 70%까지 수출할 수 있는 쿼터제를 적용한 타격을 입었다. 이 회사는 지난달과 이달 각각 송유관, 강관에 대해 20% 안팎의 관세를 적용받고 있다. 실제로 수출량도 줄어들었다. 반기보고서에 따르면 연간 110만톤을 생산하는 포항 강관 공장의 가동률이 지난 1분기 79%에서 2분기 58%로 하락했다. 올 2분기 영업이익은 미국 수출량이 줄었음에도 현지 판매법인의 재고 효과와 판매 단가 인상으로 전년동기대비 80.6% 증가한 395억원을 기록했다. 그러나 5월부터 미국 수출량이 줄어든 것을 감안하면 3분기 영업이익은 전분기보다 대폭 줄어들 것이라는 게 증권업계의 분석이다. 펀더멘털(기초체력)적으로 어려움이 예상된다는 말이다.김미송 케이프투자증권 연구원은 “판매량 감소에 따른 이익률 하락을 반영한 3분기 영업이익은 109억원으로 예상한다”며 “내년도 쿼터가 적용되는 오는 10월부터 대미 수출에 숨통이 트일 것”이라고 전망했다.세아제강 다음으로 대미 수출이 많은 현대제철(004020)과 휴스틸(005010)도 이날 각각 0.56%, 12.03% 올랐다. 현대제철은 2분기 실적 호조로 펀더멘털적으로는 양호한 편이지만 계속되는 미국의 관세 부과의 늪에서 자유롭지 못하다. 미국이 이달 초 도금강판에 대한 관세율을 10%로 올린다고 밝혔기 때문. 휴스틸은 대미 수출이 감소세로 접어들었다. ◇ 철강주 호재?…“신중히 접근해야”전문가들은 미국의 이번 조치가 국내 기업들에게 실질적인 호재가 될 지 좀 더 신중하게 접근할 필요가 있다고 조언한다. 최문선 한국투자증권 연구위원은 “그간 미국이 무역장벽을 높인 탓에 주식시장이 위축됐지만 쿼터제에 대한 면제권을 준다고 하니 주가 측면에선 긍정적일 수 있다”며 “하지만 미국 강관업체들이 관세를 높여야 한다고 주장한 영향으로 이미 한국 기업들은 적지 않은 타격을 입은 상태여서 향후 주가나 펀더멘털적으로 회복을 할 수 있을지는 두고 봐야 한다”고 말했다. 정하늘 이베스트투자증권 연구원은 “포스코는 대미 수출 비중이 1%도 되지 않고 세아제강, 현대제철 등 강관을 주로 제조하는 업체들이 미국 의존도가 높아 쿼터 면제 혜택을 보는 곳은 일부에 그칠 것”이라고 했다. 외신은 철강 관련 모든 품목의 쿼터가 풀린다고 보도했지만 아직까지 어떤 품목이 적용될지는 알 수 없는 상태여서 추후 확인을 거친 뒤 투자전략을 짜야한다”고 강조했다."
휴스틸,2018.08.21,0300,경제,포스코 실적에 가려진 철강위기… 21곳 영업익 27%↓,"포스코 포함땐 영업익 8% 늘지만…고철값 급등-건설 수요둔화에 보호무역까지 겹쳐 실적 하락동부제철 등 7곳은 적자전환전기료 인상-온실가스 규제도 부담… “정부 지원책 없으면 무너질 판”포스코의 호실적에 가려진 한국 철강기업의 위기가 심각한 수준인 것으로 나타났다. 안팎으로 겹치는 악재에 적자로 돌아선 철강사도 속출하고 있다.20일 동아일보는 국내 철강사 22곳의 상반기(1∼6월) 실적을 분석했다. 이들의 전체 매출은 33조2065억 원, 영업이익은 2조5555억 원이었다. 수치만 보면 지난해 같은 기간보다 매출은 5.6%, 영업이익은 8.1% 증가해 양호한 실적이다. 특히 매출 기준 1위 포스코는 상반기에 매출 15조4657억 원, 영업이익 1조8380억 원을 거뒀다. 매출은 8.9%, 영업이익은 33.2%나 올랐다. 하지만 포스코를 제외한 나머지 21곳 실적만 보면 상황이 달라진다. 2위 현대제철부터 22위 동일철강까지 총매출은 17조7408억 원, 영업이익은 7175억 원이었다. 지난해 같은 기간보다 매출은 2.9% 늘어나는 데 그쳤다. 영업이익은 오히려 27.0% 감소했다. 동부제철, 대한제강, 태웅, 영흥철강, 하이스틸, 현진소재, 동일철강 등 7곳은 흑자에서 적자로 돌아섰다. 동국제강, 한국철강, 휴스틸, 한국선재 등 4곳은 지난해보다 영업이익이 50% 넘게 줄었다. 한 철강사 관계자는 “영업이익 하락 속도가 이 정도로 계속 유지되면 사실상 망한다고 봐도 무리가 아니다”라고 말했다. 국내 철강사 전체 22곳 중 영업이익이 오른 곳은 포스코(33.2%), 현대비앤지스틸(71.9%), 한국특수형강(41.6%), DSR제강(30.8%) 등 4곳에 불과했다.주요기사 철강사들이 고전을 면치 못하고 있는 가장 큰 이유로는 원자재 가격 상승이 꼽힌다. 한 철강업체 관계자는 “특히 고철을 녹여 쇳물을 만드는 전기로 업체, 즉 제강사들의 실적 타격이 컸다”고 설명했다. 제강사는 건설에 쓰이는 철근 등 봉형강류를 주로 생산한다. 이들은 원재료로 고철(철스크랩)을 사다가 녹여 쓰는데 고철 가격이 지난해 같은 기간보다 약 30% 급등했다. 전기고로를 가동하는 데 쓰이는 전극봉도 지난해 6월 이후 5배 가까이 뛰었다. 생산비용이 늘어도 제품가격에는 쉽게 반영을 못 하는 처지다. 최근 제강사와 건설사들 사이에 이뤄진 3분기(7∼9월) 철근가격 협상은 ‘t당 5000원 인하’로 종결됐다. 수요도 둔화되고 있다. 최근 한국건설산업연구원의 2018년 하반기 건설주택 경기전망에 따르면 건설 공공수주는 4년 만에 최저치로 떨어질 것으로 예측됐다. 국내 건설수주도 지난해 하반기(7∼12월)보다 15.4% 감소할 것이라고 분석됐다. 고급 강판이 많이 쓰이는 자동차도 국내에서는 판매 증가세가 점차 약화되고 있다. 미국에서 시작된 ‘철강 보호무역주의’ 확산은 수출로를 막고 있다. 유럽연합(EU)도 최근 관련 조치를 단행했고 캐나다, 인도까지 보호무역조치가 퍼지는 모양새다. 상황이 개선될 여지는 보이지 않고 있다. 올여름 폭염 때문에 가정용 전기료를 내리고 산업용 전기료를 올려야 한다는 요구도 나온다. 현실화되면 전기고로를 가동시키는 철강사에 치명타가 될 수도 있다. 온실가스 배출규제가 강화되고 있는 점도 철강사들 입장에서는 부담으로 꼽힌다. 한 철강업체 관계자는 “정부의 지원정책이 나오지 않는다면 한국 철강사들이 아래서부터 무너져 내릴 수도 있는 상황”이라고 말했다.이은택 기자 nabi@donga.com  "
휴스틸,2018.08.17,1725,경제,철강업 양극화 … 포스코·현대제철만 `씽씽`," 철강업계에서 부익부 빈익빈 현상이 심해지고 있다. 건설업 등 수요 산업의 경기 하강 속에서도 포스코와 현대제철 등 업계 1·2위 업체는 고로(용광로)를 기반으로 한 생산 능력을 갖고 있는 반면 중견·중소업체는 원가 상승이나 미국 무역장벽 여파를 그대로 실적 부진으로 떠안고 있기 때문이다.17일 업계에 따르면 맏형인 포스코는 지난 2분기 좋은 성적을 거뒀다. 연결기준 매출액 16조833억원, 영업이익 1조2523억원의 실적을 기록했다. 매출액은 작년 동기 대비 7.6% 증가했고 영업이익은 27.9%나 늘었다. 별도기준으로는 더 우량한 성적을 보였다. 영업이익 8221억원을 내 작년 같은 기간에 비해 무려 성장률 40.5%를 기록했다.현대제철은 연결기준 2분기 매출액이 전년 동기 대비 16.1% 증가한 5조4477억원을 기록했으며 영업이익도 7% 늘어난 3756억원을 기록했다. 영업이익률은 0.6%포인트 줄어 6.9%였지만 모기업인 현대차·기아차의 상황이 좋지 않음에도 나름대로 선방한 셈이다.반면 중견 철강업체의 성적은 그다지 좋지 않다.동국제강은 올 2분기 연결재무제표 기준으로 영업이익 323억원을 기록했다. 전년 동기 대비 40.6% 감소한 수치다.강관업체 역시 전반적으로 부진한 성적표를 받았다. 휴스틸은 올 2분기에 영업손실 약 7억6800만원을 냈다. 작년 동기 영업이익 33억3300만원에 비하면 천양지차다. 세아제강은 연결기준으로 올 2분기 영업이익 395억원을 내 작년 동기(219억원)보다 81% 증가했지만 이는 미국 현지 판매법인에 힘입은 바가 크다. 별도기준으로는 영업이익 83억원을 내 작년보다 51%나 급감했다.중견 업체의 부진은 근본적으로는 철강을 필요로 하는 수요 산업이 위축돼 있기 때문이다. 철강 수요 산업은 크게 건설업, 자동차산업, 조선업으로 나뉜다. 건설업에서는 한국건설산업연구원의 건설기업경기실사지수(CBSI)가 지난 4월 85.2, 5월 84.5, 6월 81.9, 7월 81.9로 하향 추세가 뚜렷하다. 이 지수가 100 이하면 현재 건설 경기 상황을 비관적으로 보는 기업이 낙관적으로 보는 기업보다 많다는 의미다. 국내 완성차 생산과 수출은 5개월 연속 동반 하락하고 있으며 조선업 역시 역대 최악의 보릿고개를 지나고 있다. 건설업에 쓰이는 구조용 강관, 자동차용 강판으로 활용되는 아연 도금 강판이나 선박 재료가 되는 후판 판매가 저조해질 수밖에 없다.여기에 더해 세아제강이나 휴스틸 등 강관업체는 미국의 철강 쿼터에 직격탄을 맞았다. 원유·천연가스 채취에 사용되는 유정용 강관 수출이 주력 사업 분야인데 정해진 쿼터 물량을 지난 5월께 다 소진해 더 이상 수출이 어려워지면서 실적이 크게 악화한 것이다.일부 중견 업체는 특히 포스코·현대제철이 철광석 가격 등 원가 상승분을 중견 업체에 전가하고 있다고 비판한다. 고로를 보유한 업체들은 열연강판 등 반재료 제품에 원가 상승을 반영할 수 있지만 이를 이용해 아연 도금 강판 등 제품을 만드는 중견사는 부진한 수요 시장 때문에 제품 가격에 비용 인상을 온전히 반영하기 어렵다는 것이다. 실제로 업계에서 산출한 열연강판의 분기별 평균 유통가격과 아연 도금 강판의 분기별 평균 유통가격 간 격차는 작년 2분기 t당 18만원에서 올해 2분기에는 13만6000원으로 24%나 낮아졌다. 고로 보유 업체는 철광석 원가 상승을 반영해 열연강판 가격을 높여 판매한 반면 이를 재료로 만든 아연 도금 강판은 그만큼 가격을 올리지 못했다고 해석할 수 있다.이에 대해 포스코 관계자는 ""열연강판 등과 같은 중간재 구매처를 단일화하는 고객사를 찾아보기 힘들다""며 ""수입재든 국내산이든 가격과 납기 등을 고려해 구매하고 있다""고 해명했다.철강업체 관계자는 ""리스크를 낮추려면 수입제품에만 의존할 수 없어 기본적으로 국내 업체의 제품을 쓰지 않기는 어렵다""며 ""협상력이 강한 포스코·현대제철에 위축될 수밖에 없어 시장 상황이 나빠지면 상대적으로 우리만 손해를 볼 수 있다""고 말했다. [우제윤 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]        					"
휴스틸,2018.07.03,0300,경제,‘잘된 협상’ 믿었는데… 수출절벽 내몰린 한국 철강,"철강제품 53개중 13개, 對美 수출쿼터 이미 80% 이상 소진‘대미(對美) 철강수출 중단’ 우려가 현실화하고 있다.한국 정부는 5월 미국과의 철강무역 협상에서 ‘수출량 70% 제한조치’를 받은 것을 ‘성과’라고 자화자찬했지만 철강업계는 벌써 ‘수출 절벽’에 내몰리고 있다. 일부 철강기업은 당장 이달부터 미국행 선박에 제품을 실을 수 없어 공장 가동률까지 낮추기 시작했다. 수출 쿼터(할당량)를 둘러싼 업체들 간 갈등도 격화되고 있다. 2일 정유섭 자유한국당 의원(국회 산업통상자원중소벤처기업위원회)이 한국철강협회에서 제출받은 자료에 따르면 한국의 대미 수출 철강제품 53개 중 13개(25%)는 이미 80% 이상 쿼터를 소진한 것으로 나타났다. 열연봉강, 전기강판, 파일링 파이프 등 7개는 쿼터가 모두 소진됐고, STS(스테인리스스틸) 반제품, 유정용강판(OCTG), 기계구조용강관, 송유관 기타, 일반강관, STS 냉연강판은 80%를 넘어섰다. 아직 올해가 절반이나 남았는데 수출 가능한 물량이 거의 바닥나 버린 것이다. 특히 국내 수요가 거의 없고 미국 수출 의존도가 높은 강관(금속 파이프)류 제품들의 피해가 컸다. 미국은 석유시추, 신재생에너지 등 분야에서 강관 수요가 높아 한국의 중견 철강사들은 미국 수출에 의존해 성장해 왔다. 자료에 따르면 현재 제품군별 소진율은 강관(81%), 스테인리스(71%), 봉형강류(55%), 판재류(33%), 반(半)제품(0%) 순으로 높았다.주요기사 이는 지난달 17일 미국 통관이 끝난 기준으로 작성된 수치다. 한국에서 미국까지 배편으로 철강제품을 보내고 통관을 마치는 데에는 통상 2, 3개월이 걸린다. 한국 기준으로 보면 2, 3개월 전 수치라는 뜻이다. 한 철강업체 관계자는 “통관기준 70∼80%에 해당하는 제품들은 이미 수출이 다 끝났다고 봐야 한다”고 말했다. 수출 중단 여파는 국내 철강사들을 차례로 강타하고 있다. 휴스틸은 이미 지난달부터 미국행 선박에 강관을 싣지 못하고 있다. 내년 치 수출이 재개되는 10월경까지는 미국 수출이 ‘제로’인 셈이다. 5월까지 정상적으로 돌아가던 생산공장 가동률도 지난달부터 70% 수준으로 떨어졌다. 세아제강도 주력 품목인 유정용강관의 수출길이 이미 막혔다. 세아제강 관계자는 “포항공장 가동률도 낮출 수밖에 없다”고 말했다.대기업도 예외는 아니다. 현대제철은 연간 20만 t 규모의 강관을 미국으로 수출하는데 이미 올해 수출이 다 끝났다. 관세 부담까지 안고 있던 포스코는 ‘도저히 사업성이 없다’고 판단해 최근 수출쿼터를 포기하고 이를 현대제철에 넘겼다. 쿼터를 둘러싼 한국 기업들 간에 갈등도 깊어지고 있다. 업체들 간의 쿼터 확보 경쟁이 치열한 가운데 일부 업체들이 이미 상반기(1∼6월)에 ‘밀어내기’ 식으로 대미 수출물량을 대폭 늘린 것. 한 철강업체 관계자는 “밀어내기를 못 한 나머지 업체들이 ‘쿼터 협상에서 피해를 봤다’며 산업통상자원부에 강력히 반발하고 있다”고 전했다.상황이 이렇게 돌아가자 철강업체들 사이에서는 “애초 정부의 대미협상이 잘못됐거나 지나치게 낙관적으로 홍보한 게 아니냐”는 비판이 나오고 있다.정 의원은 “당초 정부의 예상과 달리 수출쿼터가 조기 소진됐고 철강사들이 어려움에 직면했다는 것은 정부의 협상이 잘못됐다는 것을 방증한다”고 말했다.이은택 기자 nabi@donga.com  "
